instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.0,0.3350543345031562
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.1,0.2697337361813489
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.2,0.254605843604814
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.3,0.2472896381954965
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.4,0.2379976919439015
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.5,0.23448654875744296
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.6,0.2334161267180132
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.7,0.2213746585183417
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.8,0.22440935419929534
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.9,0.2259093263119307
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,1.0,0.22288062269846587
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.0,0.9240141079417988
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.1,0.9248003168700419
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.2,0.9299096249032424
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.3,0.9388656495158176
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.4,0.9383363829086826
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.5,0.939504578355122
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.6,0.940013956338524
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.7,0.9400307708522904
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.8,0.9428863578441106
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.9,0.942004452305138
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,1.0,0.9413302021176049
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.0,0.5474964585376483
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.1,0.4501562750750389
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.2,0.4888852764321872
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.3,0.5062222552428501
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.4,0.4847782053949103
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.5,0.503539436536004
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.6,0.5079826889357781
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.7,0.4998396188098706
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.8,0.502926758596095
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.9,0.4962765857331075
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,1.0,0.5133447452623656
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.0,0.6872983882298801
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.1,0.6949699695990293
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.2,0.7086605450325214
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.3,0.7074861869405541
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.4,0.7084930803156196
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.5,0.7096746021199108
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.6,0.708343612656157
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.7,0.7144235042975374
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.8,0.7137628483430088
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.9,0.7098352199077793
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,1.0,0.7143738698619212
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.0,0.6093035272659969
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.1,0.6120869335332741
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.2,0.6115367827245197
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.3,0.6122520886855081
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.4,0.6146329937279901
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.5,0.6160277238735821
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.6,0.6159463630515205
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.7,0.6115630357985922
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.8,0.6189837546558037
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.9,0.6167145081123643
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,1.0,0.6170674444606071
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.0,0.4877777777777776
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.1,0.4074747474747477
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.2,0.3794949494949495
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.3,0.3334343434343435
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.4,0.3155555555555555
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.5,0.3061616161616162
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.6,0.2877777777777778
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.7,0.2833333333333332
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.8,0.2892929292929292
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.9,0.2736363636363634
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,1.0,0.2784848484848483
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.0,0.5321219219106252
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.1,0.320196812578514
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.2,0.218767359185491
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.3,0.19591541424559686
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.4,0.15735004943591674
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.5,0.1502334393357187
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.6,0.12906370042157125
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.7,0.12802363734905026
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.8,0.12535026831503365
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.9,0.118511361386806
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,1.0,0.11896801710827988
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.0,0.7146666666666667
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.1,0.6166666666666667
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.2,0.6153333333333333
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.3,0.622
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.4,0.6220000000000001
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.5,0.618
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.6,0.6146666666666668
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.7,0.6113333333333334
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.8,0.6206666666666666
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.9,0.6193333333333332
150,4,3,0.503250698067,1.0,0,50,50,0,0,1.0,0.622
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.0,0.375690476190476
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.1,0.3321904761904758
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.2,0.3700476190476188
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.3,0.3444999999999996
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.4,0.3375476190476187
