instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.0,0.9342761661464338
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.1,0.9434034080655468
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.2,0.9561077265235004
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.3,0.9610571459063406
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.4,0.9645114217214396
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.5,0.97018024317125
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.6,0.9749370342671548
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.7,0.9763244839639046
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.8,0.9774297487267428
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.9,0.9774027850900041
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,1.0,0.9777197656611796
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.0,0.9436186130149558
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.1,0.9380648797142804
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.2,0.9446760560434424
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.3,0.9528801024859024
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.4,0.9532292920046371
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.5,0.9533547291791484
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.6,0.9538868991579864
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.7,0.9555843625470593
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.8,0.9569183855215856
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.9,0.9580312248035128
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,1.0,0.9562231807633566
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.0,0.4828376771969449
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.1,0.4233151653838153
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.2,0.5131777814100467
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.3,0.5296210437160093
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.4,0.5536156151247682
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.5,0.572377311856717
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.6,0.5767850307587149
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.7,0.5687880273807047
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.8,0.5895342060685309
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.9,0.5775699575024519
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,1.0,0.5827066034651847
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.0,0.7016187017890672
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.1,0.7048583587395767
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.2,0.7083433909938545
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.3,0.7075175111268313
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.4,0.7085925013219798
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.5,0.7073497274526156
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.6,0.7051495730864881
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.7,0.7072201479522572
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.8,0.7102036675882859
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.9,0.7048437596593738
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,1.0,0.7092451517379846
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.0,0.6316238727422943
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.1,0.6380059220107798
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.2,0.6424876239786923
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.3,0.6442424801423162
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.4,0.6463360585673827
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.5,0.6454811136740646
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.6,0.6469461730325893
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.7,0.6455033949224774
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.8,0.6469532320672358
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.9,0.6466702973923346
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,1.0,0.6476885101348385
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.0,0.5220202020202023
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.1,0.7051515151515153
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.2,0.7732323232323229
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.3,0.8038383838383832
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.4,0.8163636363636363
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.5,0.8375757575757568
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.6,0.8417171717171711
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.7,0.8515151515151502
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.8,0.8637373737373727
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.9,0.8708080808080796
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,1.0,0.8802020202020192
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.0,0.2574781560458412
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.1,0.6212621457958108
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.2,0.7373054810713391
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.3,0.768080041173705
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.4,0.8195513757338052
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.5,0.8279636981282823
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.6,0.8452368308580475
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.7,0.8674983709977317
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.8,0.8775582278704458
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.9,0.8866209404508308
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,1.0,0.8854348218230834
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.0,0.9306666666666668
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.1,0.9593333333333336
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.2,0.9600000000000002
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.3,0.9540000000000001
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.4,0.9540000000000001
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.5,0.9540000000000001
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.6,0.9533333333333333
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.7,0.952
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.8,0.9546666666666668
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.9,0.9540000000000001
