instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.2455333333333332
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.21528333333333324
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.22483333333333325
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.2282166666666665
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.24346666666666655
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.24146666666666655
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.2438166666666665
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.2390499999999999
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.2410166666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.2453833333333333
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.24663333333333326
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.0,0.3977060954051952
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.1,0.4066887434887389
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.2,0.41579554361047577
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.3,0.4340231162161888
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.4,0.4449073632824936
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.5,0.4445075327900215
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.6,0.4584186121956706
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.7,0.4524335105784118
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.8,0.4546373564399233
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.9,0.4509734665823138
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,1.0,0.44734604563536573
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.0,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.1,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.2,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.3,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.4,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.5,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.6,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.7,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.8,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.9,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,1.0,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.0,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.1,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.2,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.3,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.4,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.5,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.6,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.7,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.8,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.9,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,1.0,0.22307692307692265
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.0,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.1,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.2,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.3,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.4,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.5,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.6,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.7,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.8,1.0
