instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.41538333333333305
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.3235666666666665
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.2999333333333333
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.28003333333333336
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.2840333333333333
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.27
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.2699833333333332
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.2647
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.2631166666666667
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.2626833333333334
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.2627333333333332
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.0,0.8962088886781565
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.1,0.9000446138223355
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.2,0.9043650347434152
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.3,0.9087158036668291
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.4,0.9130909943654238
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.5,0.9170869800996524
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.6,0.91881197231793
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.7,0.9207115254063848
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.8,0.9203581120288228
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.9,0.9203055882928974
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,1.0,0.9209241371483868
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.0,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.1,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.2,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.3,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.4,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.5,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.6,1.0
