instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.2231333333333332
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.20888333333333328
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.21723333333333325
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.22381666666666647
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.2402666666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.2382666666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.2410166666666665
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.2378499999999999
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.23781666666666654
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.24338333333333326
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.24503333333333324
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.0,0.8569573912746056
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.1,0.8602939518835762
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.2,0.8623396107674792
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.3,0.8741945333335498
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.4,0.8799537170738131
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.5,0.8882426193628923
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.6,0.8938196175052278
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.7,0.8900794342682856
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.8,0.8843877816746987
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.9,0.8879066366399755
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,1.0,0.8856811901656624
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.0,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.1,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.2,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.3,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.4,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.5,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.6,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.7,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.8,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.9,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,1.0,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.0,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.1,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.2,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.3,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.4,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.5,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.6,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.7,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.8,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.9,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,1.0,0.22307692307692265
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.0,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.1,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.2,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.3,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.4,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.5,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.6,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.7,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.8,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.9,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,1.0,1.0
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.0,0.8736218467362695
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.1,0.8871364477704685
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.2,0.8893861010799009
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.3,0.8952688511055079
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.4,0.8814872848020495
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.5,0.9008330493784388
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.6,0.9072362056052118
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.7,0.9016724917796508
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.8,0.9057211740457388
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.9,0.8997105540390726
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,1.0,0.8921790019770391
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.0,0.8416312796188162
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.1,0.8448359974521228
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.2,0.8448365139708867
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.3,0.8499189365305512
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.4,0.8538139042835232
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.5,0.8497651808670621
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.6,0.8559777932097912
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.7,0.8496015087787113
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.8,0.8487190633682766
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.9,0.8546029027807875
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,1.0,0.8538803646899469
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.0,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.1,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.2,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.3,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.4,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.5,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.6,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.7,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.8,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.9,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,1.0,1.0
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.0,0.5000353303566986
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.1,0.5001414671776242
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.2,0.5001409641595156
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.3,0.5001766784452297
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.4,0.5001766784452297
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.5,0.5001771814633384
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.6,0.5001414671776242
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.7,0.5001062559100186
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.8,0.5001766784452297
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.9,0.5001766784452297
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,1.0,0.50010575289191
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.0,0.86170182533833
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.1,0.8746902500353659
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.2,0.8702220855696584
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.3,0.8794641976042609
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.4,0.8951368343972148
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.5,0.9031093944708304
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.6,0.9088859203273812
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.7,0.9113875761196124
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.8,0.9083768693024932
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.9,0.9068331949341031
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,1.0,0.9074943132308227
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.0,0.8379737679537701
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.1,0.8541957092516601
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.2,0.8694037481200132
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.3,0.8801636683981533
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.4,0.8844472577391567
