instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.8639833333333334
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.8314833333333336
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.8359666666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.8402833333333335
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.8567333333333331
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.8648000000000003
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.8455500000000004
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.8574999999999998
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.8639166666666669
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.8579166666666671
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.8530333333333335
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.0,0.917390335170488
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.1,0.9173709101371712
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.2,0.918706518095918
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.3,0.9262549614414576
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.4,0.9272662021120694
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.5,0.9340766756159216
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.6,0.9372576589517052
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.7,0.9349843549508624
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.8,0.9307029655323766
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.9,0.9304190565924074
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,1.0,0.9311609206238024
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.0,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.1,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.2,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.3,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.4,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.5,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.6,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.7,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.8,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.9,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,1.0,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.0,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.1,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.2,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.3,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.4,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.5,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.6,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.7,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.8,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.9,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,1.0,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.0,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.1,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.2,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.3,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.4,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.5,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.6,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.7,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.8,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.9,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,1.0,1.0
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.0,0.9182465648091914
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.1,0.9258311561431908
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.2,0.931912810474518
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.3,0.9355557012639804
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.4,0.9270762194304532
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.5,0.9375785690070484
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.6,0.9406085875661488
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.7,0.9371523112715586
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.8,0.9402976633596324
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.9,0.93613609985807
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,1.0,0.9329289149933406
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.0,0.9091854294752448
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.1,0.9109502952705476
