instances,features,targets,sillhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.0,0.6257816658924185
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.1,0.6659744962345987
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.2,0.7122839800970376
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.3,0.7267202602437548
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.4,0.7779132468720275
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.5,0.7923868607156548
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.6,0.8081857581257585
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.7,0.8353497910195652
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.8,0.8481529885288498
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.9,0.8573733908370769
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,1.0,0.8560440523183754
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.0,0.2776113034206874
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.1,0.2730791087075433
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.2,0.2786212762613408
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.3,0.2701217912206983
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.4,0.2812511967772192
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.5,0.282106510890947
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.6,0.2779336381587187
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.7,0.2774856322195619
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.8,0.287818611665948
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.9,0.2823299702784504
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,1.0,0.2811225941706537
