instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.0,0.3078382924827485
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.1,0.26472530912854525
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.2,0.25134115291667986
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.3,0.2445988025260247
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.4,0.23601257008217474
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.5,0.2327966388071687
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.6,0.2297889415080309
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.7,0.2185773151284085
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.8,0.2199701505015094
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.9,0.2227204667472644
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,1.0,0.22017210655731165
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.0,0.9233204408435358
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.1,0.9241973575973392
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.2,0.9295455310008814
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.3,0.9381534992419448
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.4,0.9374412828534716
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.5,0.9388831659725388
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.6,0.9391928162025356
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.7,0.9396295100686394
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.8,0.9421194318865252
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.9,0.9416571021475256
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,1.0,0.9410012636320172
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.0,0.4995723250814783
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.1,0.4339057178519421
