instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.0,0.340880441575091
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.1,0.27548536720370576
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.2,0.2602877115683737
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.3,0.2514524382075014
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.4,0.23967878056720815
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.5,0.2360323849867379
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.6,0.2332095029908219
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.7,0.22176910505065733
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.8,0.22501924579593893
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.9,0.22562453451491085
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,1.0,0.2234358158165776
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.0,0.922442781561018
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.1,0.9218564912387438
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.2,0.9281554535971228
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.3,0.937074915250504
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.4,0.9366186718919296
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.5,0.938042240351218
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.6,0.9383708111210022
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.7,0.939154856617854
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.8,0.9412602583465144
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.9,0.9408172145164159
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,1.0,0.9401615121406052
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.0,0.494462272281494
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.1,0.4052972302297244
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.2,0.4592762687350788
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.3,0.478898560630826
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.4,0.46788377069155107
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.5,0.481859025032938
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.6,0.4972964575470298
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.7,0.4702212497647281
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.8,0.4878965942524294
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.9,0.4790209367291747
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,1.0,0.492719625149831
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.0,0.6872983882298801
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.1,0.6949699695990293
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.2,0.7086605450325214
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.3,0.7074861869405541
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.4,0.7084930803156196
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.5,0.7096746021199108
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.6,0.708343612656157
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.7,0.7144235042975374
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.8,0.7137628483430088
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.9,0.7098352199077793
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,1.0,0.7143738698619212
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.0,0.6023245686704466
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.1,0.6085652718293748
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.2,0.6130111349112449
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.3,0.6130562462902833
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.4,0.6177808129109531
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.5,0.6160956935367645
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.6,0.6176638484066049
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.7,0.6152757231128471
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.8,0.6203196285862872
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.9,0.6162248832604716
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,1.0,0.6194393967019853
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.7523166666666664
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.7499999999999997
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.7675333333333328
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.7828833333333337
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.8069333333333332
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.8213000000000001
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.8109500000000003
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.8081833333333333
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.8129333333333331
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.8109333333333333
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.8205333333333332
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.0,0.3679797979797981
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.1,0.3257575757575759
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.2,0.311010101010101
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.3,0.2846464646464646
