instances,features,targets,sillhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.0,0.6695389176390385
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.1,0.6987856207561554
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.2,0.7608897277532164
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.3,0.7860483845540612
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.4,0.8155514695422025
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.5,0.819261111759994
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.6,0.8352335454419834
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.7,0.8476187283041411
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.8,0.8539939656525181
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.9,0.8645257152581303
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,1.0,0.8653898278442201
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.0,0.18567231154898908
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.1,0.1807482302333931
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.2,0.1900021003457701
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.3,0.18586967894144768
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.4,0.19178650296777172
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.5,0.19588942768565695
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.6,0.1932695984553198
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.7,0.2012591697162428
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.8,0.19774938732193148
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.9,0.2004320163875118
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,1.0,0.20037854690429324
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.0,0.3811350602022147
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.1,0.3800842050214693
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.2,0.3760234219443636
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.3,0.38080924458902815
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.4,0.3826445567872701
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.5,0.3773320061254968
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.6,0.3784708789423393
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.7,0.3793736092729265
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.8,0.3765878090675544
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.9,0.3796005003119137
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,1.0,0.3787699827975671
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.0,0.4103357410977873
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.1,0.40487542164990187
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.2,0.4094552303444789
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.3,0.4101378069122047
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.4,0.4209098711582964
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.5,0.4182064610803836
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.6,0.4164894643353769
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.7,0.4226510093050711
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.8,0.4256485060462415
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.9,0.42793384074842505
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,1.0,0.4296780210992189
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.0,0.7808571428571421
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.1,0.8114999999999998
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.2,0.8195952380952377
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.3,0.7970952380952377
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.4,0.8105952380952374
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.5,0.8143333333333329
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.6,0.8276428571428567
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.7,0.8247619047619043
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.8,0.8265952380952375
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.9,0.8113095238095234
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,1.0,0.8137380952380947
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.0,0.5008164758620206
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.1,0.4959047894956431
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.2,0.5082802373780866
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.3,0.507041747998931
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.4,0.5053149679110888
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.5,0.5074878214412317
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.6,0.5101006301228841
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.7,0.5117169597859103
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.8,0.5165561628725691
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.9,0.5173839859578276
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,1.0,0.5131264663544907
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.0,0.7252283981068808
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.1,0.7235400700091099
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.2,0.7271771897692945
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.3,0.732778432695615
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.4,0.7291442595931754
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.5,0.7422874966450815
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.6,0.7376208479343148
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.7,0.7444032942461734
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.8,0.7410746776443369
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.9,0.7428896505970805
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,1.0,0.7377910131663998
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.0,0.3979542855847773
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.1,0.4156090610161647
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.2,0.421459287366784
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.3,0.4315491793319381
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.4,0.4297830077486913
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.5,0.4371775048025796
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.6,0.44212647056779497
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.7,0.4384854422907212
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.8,0.44432044527973497
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.9,0.4507818442909744
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,1.0,0.4490057116120332
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.0,0.5073465485911305
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.1,0.5222718681046856
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.2,0.5341486541827101
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.3,0.5311771230037483
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.4,0.5304159850011243
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.5,0.5345809027635653
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.6,0.5277943803640399
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.7,0.5330224627345368
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.8,0.534352120404752
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.9,0.5349657260493172
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,1.0,0.5349255537955226
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.8647666666666665
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.8298833333333335
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.8327500000000001
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.8403166666666664
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.8631500000000004
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.86275
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.8515666666666667
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.8591166666666669
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.8566833333333338
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.8562833333333338
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.8562833333333341
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.0,0.1962848838572054
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.1,0.2146122886124356
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.2,0.2163700838867788
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.3,0.2209335254777455
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.4,0.2351161069697645
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.5,0.2354326363281519
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.6,0.2370651423109214
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.7,0.2447028429621909
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.8,0.246540055290837
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,0.9,0.2462065227667169
1885,136,7,-0.0676985292236,0.473844023912,125,1385,10,0,0,1.0,0.2443014526916884
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.0,0.8855004045961361
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.1,0.8952713334109906
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.2,0.9408154124066984
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.3,0.9552412112197318
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.4,0.9648373008605056
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.5,0.9633016211921638
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.6,0.9658078765124566
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.7,0.958759374915995
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.8,0.9566667805246668
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,0.9,0.9558539686920364
7494,16,10,0.192812491483,0.999651747512,0,780,719,0,0,1.0,0.9547428070835684
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.0,0.5113303029748021
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.1,0.5004175382073042
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.2,0.5432637669617818
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.3,0.5769538655603529
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.4,0.5791532945355267
