instances,features,targets,sillhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.0,0.428106778793651
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.1,0.2116594642056296
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.2,0.13743721776080106
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.3,0.12436264238058065
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.4,0.1092144172064719
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.5,0.10407366251900588
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.6,0.09492941501185798
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.7,0.09529203308207276
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.8,0.09307244174481008
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.9,0.09143785166503343
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,1.0,0.09288803195071728
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.0,0.1556277580462267
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.1,0.1454525323240119
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.2,0.15244942461226307
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.3,0.14045068404709135
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.4,0.15280940848618196
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.5,0.14885470386302996
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.6,0.14783880454645718
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.7,0.15408242176348227
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.8,0.1514250370863171
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.9,0.1516323665861731
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,1.0,0.14808464492132914
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.0,0.0070119924345732896
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.1,0.013083983586956451
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.2,0.016765823860217487
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.3,0.020494499436847318
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.4,0.024134339812265773
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.5,0.02608241571930401
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.6,0.027642265220895357
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.7,0.028493064081832126
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.8,0.027869858707198845
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.9,0.0282597548460011
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,1.0,0.03090858402707075
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.0,0.3267620361487393
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.1,0.3297266454830892
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.2,0.3262186129609412
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.3,0.3294443410425665
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.4,0.3345964313017181
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.5,0.3312006548454712
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.6,0.328441246706563
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.7,0.3295349955421104
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.8,0.3307933449463214
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.9,0.3298424921084082
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,1.0,0.3320869582976901
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.0,0.35707142857142843
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.1,0.32642857142857107
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.2,0.3504285714285711
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.3,0.3430714285714282
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.4,0.3337619047619044
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.5,0.3350714285714283
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.6,0.3516190476190473
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.7,0.3307619047619045
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.8,0.3423095238095234
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.9,0.3257142857142853
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,1.0,0.33030952380952355
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.0,0.5760737403020417
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.1,0.5663884707958453
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.2,0.569308975875424
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.3,0.5706114985664226
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.4,0.5709644179294279
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.5,0.5727054899138334
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.6,0.5738461863332026
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.7,0.5790960067362794
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.8,0.5810346054272881
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.9,0.5768519525156097
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,1.0,0.5733691642625668
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.0,0.6638334497459881
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.1,0.7296510507036816
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.2,0.6983376870807207
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.3,0.6852289318868264
