instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.0,0.7850637987852154
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.1,0.8525004439523646
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.2,0.9017513904642872
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.3,0.9183455962146634
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.4,0.9315133287257409
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.5,0.9514236607644476
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.6,0.962845392166394
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.7,0.9658812254672776
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.8,0.9659909173996348
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.9,0.9666749973363477
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,1.0,0.9688773870951256
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.0,0.927320748619184
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.1,0.9232989464805236
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.2,0.93046008765622
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.3,0.9429778027623128
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.4,0.9429778027623128
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.5,0.9488960657671436
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.6,0.948548075512957
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.7,0.9510349264088612
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.8,0.9537204316441782
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.9,0.9537016771721316
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,1.0,0.9541036073700904
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.0,0.5330622158162203
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.1,0.5033854844621434
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.2,0.5790388173992294
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.3,0.6026258234519105
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.4,0.6027692799191658
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.5,0.597066876677861
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.6,0.6061827097387739
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.7,0.6064300474506426
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.8,0.6217072473674307
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.9,0.6224080259938385
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,1.0,0.6224080259938385
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.0,0.6368997998111025
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.1,0.6717809664499224
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.2,0.6930996859597489
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.3,0.6884649594249821
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.4,0.6916759048915601
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.5,0.7002670394342075
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.6,0.7016696227285475
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.7,0.7030550682944194
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.8,0.7031195258438934
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.9,0.7019806553229279
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,1.0,0.7042262925595627
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.0,0.5957377638014474
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.1,0.600820828656739
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.2,0.6028781982965676
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.3,0.6077413312128572
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.4,0.6111602038890871
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.5,0.6121417572496233
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.6,0.6123415948820801
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.7,0.6127322742667884
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.8,0.6174050457960673
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.9,0.6172641354969585
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,1.0,0.6143972300799362
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.43719999999999976
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.5706833333333334
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.6640999999999997
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.6861666666666669
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.7018166666666665
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.69515
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.7110833333333333
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.6865999999999997
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.7030666666666668
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.7155166666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.6965000000000002
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.0,0.2647474747474748
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.1,0.6296969696969698
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.2,0.7294949494949499
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.3,0.7946464646464646
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.4,0.8058585858585858
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.5,0.8271717171717168
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.6,0.846464646464646
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.7,0.8639393939393929
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.8,0.8769696969696958
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.9,0.8863636363636352
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,1.0,0.8834343434343424
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.0,0.2607161062040367
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.1,0.43556992565356384
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.2,0.6167547839961822
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.3,0.6813140471023772
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.4,0.7609741261386909
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.5,0.7823983233222636
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.6,0.7981454690179135
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.7,0.8198637450478574
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.8,0.8299960672261893
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.9,0.8553105678249886
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,1.0,0.8645651626542555
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.0,0.9033333333333337
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.1,0.924
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.2,0.924
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.3,0.9453333333333336
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.4,0.9453333333333336
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.5,0.9453333333333336
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.6,0.9506666666666672
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.7,0.9506666666666672
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.8,0.9600000000000004
150,4,3,0.503250698067,1.0,0,50,50,0,0,0.9,0.9600000000000004
150,4,3,0.503250698067,1.0,0,50,50,0,0,1.0,0.9600000000000004
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.0,0.6010238095238095
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.1,0.6091190476190476
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.2,0.6755952380952378
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.3,0.6687619047619046
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.4,0.7102857142857141
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.5,0.7543571428571424
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.6,0.7907619047619043
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.7,0.7672857142857141
