instances,features,targets,sillhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.0,0.5427591928680469
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.1,0.3365208705048495
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.2,0.23819301901413664
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.3,0.2151644071110016
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.4,0.1740227532744554
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.5,0.16751066762042835
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.6,0.14266134652085805
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.7,0.13902060638883856
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.8,0.13439889011280726
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.9,0.12764125190550246
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,1.0,0.12647038704783614
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.0,0.226842424155112
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.1,0.2221414942326428
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.2,0.2308805062820524
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.3,0.2233263375200948
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.4,0.22824670215983836
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.5,0.22782807831286964
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.6,0.2233188473189072
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.7,0.2279283297393256
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.8,0.21720305173852145
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.9,0.222195118748224
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,1.0,0.2215617376015819
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.0,0.0070119924345732896
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.1,0.013083983586956451
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.2,0.016765823860217487
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.3,0.020494499436847318
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.4,0.024134339812265773
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.5,0.02608241571930401
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.6,0.027642265220895357
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.7,0.028493064081832126
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.8,0.027869858707198845
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.9,0.0282597548460011
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,1.0,0.03090858402707075
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.0,0.3572073879552343
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.1,0.35293551307338
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.2,0.34628118706553696
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.3,0.3491873429488781
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.4,0.3545517896456616
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.5,0.3512086942181464
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.6,0.34845159305137985
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.7,0.34603681656872065
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.8,0.3477122370987737
