instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.0,0.25267681667475256
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.1,0.2234876381706951
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.2,0.2258797878721009
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.3,0.2284769528722703
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.4,0.22853531641149355
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.5,0.2248726747969599
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.6,0.22692699703423724
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.7,0.21633979715066026
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.8,0.22093598738205575
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.9,0.2222637647824766
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,1.0,0.2193459754338516
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.0,0.9225520711785044
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.1,0.9219475659199824
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.2,0.9281554535971228
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.3,0.9371659899317428
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.4,0.9367097465731682
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.5,0.9381879598412
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.6,0.938516530610984
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.7,0.9391730715541016
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.8,0.9413331180915052
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.9,0.9408900742614068
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,1.0,0.9403072316305872
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.0,0.4963632698346654
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.1,0.4011611489197301
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.2,0.4575371383002961
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.3,0.4736416436347784
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.4,0.4652948378852269
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.5,0.4801198945981554
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.6,0.4950594916144116
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.7,0.4718973273103709
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.8,0.487540863027133
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.9,0.4777739952648418
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,1.0,0.4940832615134675
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.0,0.6872983882298801
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.1,0.6949699695990293
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.2,0.7086605450325214
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.3,0.7074861869405541
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.4,0.7084930803156196
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.5,0.7096746021199108
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.6,0.708343612656157
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.7,0.7144235042975374
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.8,0.7137628483430088
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.9,0.7098352199077793
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,1.0,0.7143738698619212
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.0,0.602911035310973
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.1,0.6086565763408381
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.2,0.6164365367844862
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.3,0.6159563672727711
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.4,0.6176459842051005
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.5,0.6176106619379234
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.6,0.6164308218449396
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.7,0.6140478847150694
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.8,0.6177085331295116
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.9,0.6142570808636938
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,1.0,0.6191109873164814
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.8057666666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.781333333333333
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.7928333333333332
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.7976666666666667
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.8309166666666669
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.8475333333333335
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.8317999999999999
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.8366833333333332
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.8445833333333336
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.8446500000000005
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.8454666666666669
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.0,0.25777777777777783
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.1,0.2812121212121211
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.2,0.29969696969696985
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.3,0.2912121212121212
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.4,0.2795959595959597
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.5,0.2770707070707069
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.6,0.2566666666666665
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.7,0.25989898989898985
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.8,0.2645454545454544
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.9,0.2537373737373736
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,1.0,0.25606060606060593
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.0,0.0694181685298991
