instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.0,0.7449800474798863
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.1,0.8612950869179482
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.2,0.9085056447716312
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.3,0.9288413357237568
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.4,0.9454918712021696
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.5,0.9554559745345323
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.6,0.9631257198230898
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.7,0.9652665758932322
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.8,0.966663218685194
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,0.9,0.96710612309857
3823,64,10,0.174097013891,0.999962560318,3,389,376,0,0,1.0,0.9684649334761142
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.0,0.8927525584617438
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.1,0.8838808351242647
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.2,0.9139292906409472
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.3,0.9256004781622198
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.4,0.9266851714420944
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.5,0.9259675284407431
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.6,0.9373647653128641
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.7,0.9359309479693602
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.8,0.942498391572851
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.9,0.9409647467584688
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,1.0,0.9379286156572972
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.0,0.3955753514220334
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.1,0.4046909764529903
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.2,0.4372121410244981
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.3,0.3646878361912688
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.4,0.4244515835042154
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.5,0.4135081379337674
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.6,0.3759686865384808
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.7,0.3777878441162199
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.8,0.3982810633302628
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,0.9,0.38770185344784897
215,9,7,-0.0870948120222,0.8461745637360001,0,76,10,0,0,1.0,0.39011837399823707
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.0,0.5695857584668125
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.1,0.5767545451525813
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.2,0.5792158774160446
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.3,0.5768546183915783
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.4,0.4979032443677449
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.5,0.4647575357203025
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.6,0.4906198685492897
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.7,0.5479650399951598
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.8,0.5285212788607306
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,0.9,0.4862454607991982
9280,65,2,0.176563632967,1.0,56,4640,4640,0,0,1.0,0.5334011824234737
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.0,0.6035051526487034
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.1,0.6007158745257775
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.2,0.6003268682780799
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.3,0.6045294274273388
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.4,0.6001287659020018
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.5,0.6033168102307692
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.6,0.6048856092897522
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.7,0.6020297806037813
1885,136,7,0.0346396106737,0.6774343507260001,125,1094,29,0,0,0.8,0.6061028630838516
