,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-11.654480425632384,0.24057011235005418,0.5068183035630518,0.031066164649233775,-11.921955889252073,0.0,0.0,0.0,0.0,0.0
huber,-0.5791274232398633,0.17573878241734836,0.06620241517601563,0.1268264676142689,-0.7487488805645642,0.0,0.0,0.0,0.0,0.0
theil_sen,-4.159990086201132,0.20239923447110128,0.1881054132374812,0.07667402601076238,-4.215012234707617,0.0,0.0,0.0,0.0,0.0
linear,0.3076559018455697,0.11711213496380588,0.02619312406569484,0.07893002893301641,0.2847600886065865,0.0,0.0,0.0,0.0,0.0
ard,0.0682437086611492,0.14052833838680087,0.037401729201247,0.11143736246483141,0.01697469299477311,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.03743211100690652,0.15556757873347565,0.03855188754966268,0.13360097336569166,-0.02417535855171945,0.0,0.0,0.0,0.0,0.0
elastic_net,0.1285499264566378,0.14980072147554402,0.03459406206349595,0.12125603740632282,0.08423683844339099,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.31067043427648133,0.11788811142166347,0.02627910379456335,0.08075422107013511,0.2857935937718121,0.0,0.0,0.0,0.0,0.0
lasso_lars,-6.661338147750939e-17,0.15577424134821835,0.04168632710984789,0.13652753934200917,-0.061223056648243124,0.0,0.0,0.0,0.0,0.0
lasso,0.12785850513793923,0.14956845198371582,0.03461291609165408,0.12180280292552315,0.08308780195381116,0.0,0.0,0.0,0.0,0.0
ridge,0.3125439474272348,0.11864382031925247,0.026365901873379515,0.08246119263782418,0.28568333694591996,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9935868746949523,0.007473667078669537,0.0002386221612008052,0.0030943467961102506,0.9933611795597933,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9953652962666905,0.0052499110194501155,0.00019357703455866228,0.0023826549502331375,0.9951940786803742,0.0,0.0,0.0,0.0,0.0
svr,0.8271158452127481,0.07621708991721166,0.006576948621644098,0.08871800382895294,0.8137895298637504,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9971285266525121,0.004444436552744206,0.00013501836061669548,0.002256181838707938,0.9970332924210805,0.0,0.0,0.0,0.0,0.0
linear_svr,-116.50484196334405,0.8561525482134773,5.287802741466401,0.20122022469798204,-124.21666293907906,0.0,0.0,0.0,0.0,0.0
mlp,-789000.0983073659,86.85605277106261,28079.727857370213,64.63741458151404,-1093085.6053652163,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.25989619183507473,0.16819677611194422,0.04968782216951746,0.13268441492317096,-0.33460550703845326,0.0,0.0,0.0,0.0,0.0
