,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-11.985178782101608,0.24919362099011275,0.5637439966001078,0.026621697535169804,-13.096334804024547,0.0,0.0,0.0,0.0,0.0
huber,-0.3834835651201239,0.17169407992985902,0.06177047128900097,0.12887983878786433,-0.47768089352544135,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.2376368134482925,0.20943765489472616,0.17305834941195197,0.07694829701182643,-3.3412239564503126,0.0,0.0,0.0,0.0,0.0
linear,0.3849426229370182,0.118677630206568,0.0264999752662815,0.07981965888747684,0.3551080836123211,0.0,0.0,0.0,0.0,0.0
ard,0.15016296466697748,0.14124358728721864,0.03703741108782575,0.10850956498024238,0.12771391815159847,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.03308181638948284,0.15646793298307574,0.04157201178887811,0.1266550132786502,-0.0009215363119171816,0.0,0.0,0.0,0.0,0.0
elastic_net,0.11311785043751073,0.1579270073391726,0.038035285678428586,0.13841281715814213,0.06779792532496827,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.38345550178327326,0.11927632141769062,0.026548681259310303,0.0815552534355481,0.35416545805336624,0.0,0.0,0.0,0.0,0.0
lasso_lars,1.1102230246251566e-17,0.1630004838337789,0.04337232846691843,0.1445260145667293,-0.0333490712117003,0.0,0.0,0.0,0.0,0.0
lasso,0.11217773822266744,0.15781286095299257,0.03804735095292171,0.13888631255064707,0.06784642455677573,0.0,0.0,0.0,0.0,0.0
ridge,0.37948187702903946,0.12130357414083133,0.026691950412814164,0.08560212761046314,0.3507689809223423,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.97649599565874,0.009827537879059633,0.0010181260469723009,0.001829988195894358,0.975773032670053,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9760487140283696,0.008799731356245111,0.001026181989572004,0.0019143887890311906,0.9752015548798978,0.0,0.0,0.0,0.0,0.0
svr,0.8259618011907675,0.0780506531938798,0.007370241197979785,0.08958411130087143,0.8090714560422285,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9738254338977536,0.007656122281813641,0.0009647504533251587,0.0023144845682038784,0.9728305519603048,0.0,0.0,0.0,0.0,0.0
linear_svr,-171.82924355064728,1.4445918854696846,9.758350755157997,0.551035564099635,-222.57487563867872,0.0,0.0,0.0,0.0,0.0
mlp,-695951.5524975867,136.6153137867185,51122.49009599468,95.271266075184,-1133006.3959383022,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.24770778079781097,0.1741220294817902,0.05348899426993842,0.14679349673952774,-0.32455736320922507,0.0,0.0,0.0,0.0,0.0
