,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-20.178440663212864,0.4161375283959242,1.978533669015789,0.06171794039004859,-21.032172330666203,0.0,0.0,0.0,0.0,0.0
huber,0.32454583774083456,0.18168083089056364,0.06869049762072464,0.12270703063995562,0.2423424071479853,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.2814347456860546,0.2593371463878401,0.38886503158838315,0.08000924332585278,-3.3462518890468607,0.0,0.0,0.0,0.0,0.0
linear,0.5400098344309352,0.17196578020296466,0.04337858763816424,0.15541822608764433,0.5163711806196332,0.0,0.0,0.0,0.0,0.0
ard,0.4756580978014133,0.18329731130287572,0.05036953325346981,0.1615870639743162,0.4387233843808165,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.4544969900396844,0.1871716372045036,0.053248636261187546,0.15952842644159562,0.410965212713577,0.0,0.0,0.0,0.0,0.0
elastic_net,0.3130861693459609,0.22256399079635975,0.0673573482436557,0.21260833056708206,0.26910176297318655,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.539129817338923,0.17419444980434273,0.04348112192971311,0.15414757496499437,0.5151869081622564,0.0,0.0,0.0,0.0,0.0
lasso_lars,3.3306690738754695e-17,0.29114646555855206,0.10035952472244805,0.29168919242030295,-0.07995359934979096,0.0,0.0,0.0,0.0,0.0
lasso,0.2893288526678763,0.2322388035957979,0.06990877849226833,0.2207076282134086,0.24311127723674275,0.0,0.0,0.0,0.0,0.0
ridge,0.5373511058683622,0.17582238571808045,0.04367353256316931,0.1543921130709026,0.5131246998428781,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9247013877459984,0.030728999886058466,0.006828431659949232,0.009693148771890786,0.9226623989125621,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9914535994138465,0.014116022313202744,0.0007868987934128348,0.006840807123976068,0.9912121651623093,0.0,0.0,0.0,0.0,0.0
svr,0.9240020971629335,0.08360715793372159,0.007565714269592283,0.09129678218568958,0.91589333166791,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9926470882197742,0.012545767309084108,0.0007055754673111764,0.006686290833502554,0.9922888209308065,0.0,0.0,0.0,0.0,0.0
linear_svr,-49.56662229825217,1.2441006448279492,6.152347240291379,0.5262242185051123,-66.15815193200379,0.0,0.0,0.0,0.0,0.0
mlp,-214443.92986872458,93.76936101498436,29918.00028920804,50.29421986665726,-326935.6515858357,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5394185441283573,0.17543597242062753,0.043518889640666004,0.15393523459753045,0.5148454367389718,0.0,0.0,0.0,0.0,0.0
