,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.14492911886936183,0.1310464855819464,0.0330425119657346,0.09290713928927212,0.1217700376514943,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.34852888707837676,0.11143840548552889,0.023634284788733854,0.07684424865122627,0.3323241062732441,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9832502072412064,0.008669100406998108,0.000551527150095682,0.0028214921212795013,0.9827896434429091,0.0,0.0,0.0,0.0,0.0
elastic_net,0.11843661855167027,0.14328783200284556,0.03289707931920778,0.10883541804543535,0.10171515206391195,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9777387432154695,0.009957194113377416,0.0007361826998815168,0.0024866492259116913,0.9774310997527644,0.0,0.0,0.0,0.0,0.0
huber,-0.5020514087781889,0.16486900845505564,0.058482870609544955,0.12016852398018969,-0.517691620177529,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.23813596708672452,0.16267711405106858,0.04779324115351439,0.127420249642182,-0.2615056861219373,0.0,0.0,0.0,0.0,0.0
lasso,0.11828873794701673,0.14316711706785187,0.032907646312152976,0.10883758473799254,0.10138851110566915,0.0,0.0,0.0,0.0,0.0
lasso_lars,9.992007221626409e-17,0.1490299568901536,0.038763983518176705,0.12713952601521386,-0.025334380060565143,0.0,0.0,0.0,0.0,0.0
linear,0.34791122298398547,0.11126502970565103,0.02359370746938261,0.07483566457753062,0.3315140691423326,0.0,0.0,0.0,0.0,0.0
linear_svr,-217.30409148062822,1.6011186602430147,10.693252561269741,0.649897854562323,-308.39991771250453,0.0,0.0,0.0,0.0,0.0
mlp,-655842.1787398874,108.40971074991879,36668.391835956,66.03114463551553,-954688.2913302515,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9873905414898552,0.006726568654539291,0.0003808559857533756,0.002579819629129515,0.9869519020646544,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.012657287578895648,0.15041265586021416,0.03766407204440794,0.11853032406309036,-0.009214109128777426,0.0,0.0,0.0,0.0,0.0
ransac,-9.849031029802429,0.20622718516249544,0.37416553191759194,0.02287039448411987,-10.287889411614845,0.0,0.0,0.0,0.0,0.0
ridge,0.34641023656890146,0.11253794961425989,0.0237992246151468,0.07703090257661553,0.3303952750966603,0.0,0.0,0.0,0.0,0.0
svr,0.825839702312925,0.0756762156411002,0.006743391432735897,0.08791397102881163,0.8033680507546386,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.087414791291649,0.19346777111368155,0.16102752071204457,0.06566490454136979,-3.2064121503781515,0.0,0.0,0.0,0.0,0.0
