,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-0.9838215206136874,0.1644187180223712,0.13695223980738,0.05080443290131074,-1.1157756845012687,0.0,0.0,0.0,0.0,0.0
huber,-0.09426222863309783,0.17975778700791348,0.07116857522785007,0.12825291116945053,-0.15911457841760274,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.31575900181130123,0.1676498696021198,0.08657972206219014,0.07213035062419812,-0.3975472764076658,0.0,0.0,0.0,0.0,0.0
linear,0.4862899416531148,0.12013398393221672,0.03268278896014395,0.07243378637765908,0.47506429212270485,0.0,0.0,0.0,0.0,0.0
ard,0.4389963074367681,0.13215805800855368,0.03590805139309285,0.0781346753918597,0.4224154503940179,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.250661633376652,0.1602010601589179,0.0477579716001041,0.11310950814004435,0.22657380522533233,0.0,0.0,0.0,0.0,0.0
elastic_net,0.2386080841547625,0.17147048211827096,0.04862853894862711,0.1499325997819459,0.20703691805510588,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.4856125183699234,0.12130553994580998,0.03273312736710275,0.07166093510183395,0.4741129075139609,0.0,0.0,0.0,0.0,0.0
lasso_lars,-6.661338147750939e-17,0.21350911587119673,0.06361268199562833,0.20030798895810925,-0.02562802295402633,0.0,0.0,0.0,0.0,0.0
lasso,0.23885034587586063,0.17155016390994154,0.04860559705903858,0.15090989093462107,0.20725305288615928,0.0,0.0,0.0,0.0,0.0
ridge,0.481992041668349,0.12459551509700739,0.0329875858117749,0.07431293103371296,0.46966751704356036,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.981065846705212,0.011635122282279694,0.0011583594749103047,0.003921374212837262,0.9805501634913029,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9874687281086929,0.00975352450169369,0.0008563450619280887,0.003207873079045339,0.9868062107627121,0.0,0.0,0.0,0.0,0.0
svr,0.8891784231191056,0.08122762852790882,0.007343648722279441,0.09261683005970588,0.8801019883727144,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9947378698413344,0.006981494874827264,0.00033431933891260146,0.002972713208454065,0.994471678019951,0.0,0.0,0.0,0.0,0.0
linear_svr,-70.53624737096683,1.0142109622683673,4.723476516457624,0.37641861669669663,-76.37139143101409,0.0,0.0,0.0,0.0,0.0
mlp,-580131.5231611239,107.5033595873884,46062.08207899317,56.243527263542134,-753588.5964526288,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.03697194806186681,0.19383474244786242,0.06195848237371511,0.16366792571190256,-0.003846084854556786,0.0,0.0,0.0,0.0,0.0
