,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-13.156182891060087,0.23704356529353782,0.5228967858315612,0.03287424494741366,-13.6363390814888,0.0,0.0,0.0,0.0,0.0
huber,-0.5986206925340868,0.18457363772160504,0.06435943331701174,0.13468997264580826,-0.7335521487497882,0.0,0.0,0.0,0.0,0.0
theil_sen,-4.498816852811642,0.22333600098095813,0.20662709494584205,0.07121554245425861,-4.670226538417711,0.0,0.0,0.0,0.0,0.0
linear,0.4186642373815109,0.1163436686366451,0.02292391838245892,0.08995034890018647,0.3897592360886018,0.0,0.0,0.0,0.0,0.0
ard,0.16152869062100608,0.1407625024648883,0.03214832736205236,0.11997357097575101,0.14455741439178543,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.09964965953615126,0.14735328233964953,0.03451738192506261,0.11935478630516691,0.0862371779095558,0.0,0.0,0.0,0.0,0.0
elastic_net,0.15036923746119746,0.1501547596962422,0.03345360797609501,0.12979735966349154,0.10818645969071947,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.41757051056218836,0.1165528375219568,0.022959003661184033,0.08994422705089833,0.38914408514499166,0.0,0.0,0.0,0.0,0.0
lasso_lars,2.2204460492503132e-17,0.1596497857613091,0.038443686614567894,0.14138106594878025,-0.024824532337634708,0.0,0.0,0.0,0.0,0.0
lasso,0.14935870624804823,0.14991611121323517,0.033464425063065156,0.12926104999684823,0.1080454398122666,0.0,0.0,0.0,0.0,0.0
ridge,0.41250542630082343,0.11755836770461589,0.023134631575999466,0.0899914836035043,0.3847477880101537,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9711953860388819,0.012496590545587194,0.0010502430754467875,0.003774646975240839,0.970326799477901,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9854184456327533,0.007775994252169507,0.000556337914002461,0.0029500892735986107,0.9850122689709311,0.0,0.0,0.0,0.0,0.0
svr,0.8181765427267778,0.07728661834518306,0.006938613043981792,0.08990732760880668,0.8121484002372201,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9920960025734701,0.005847999490792991,0.00030204483217730543,0.002725621669193293,0.9917641505167406,0.0,0.0,0.0,0.0,0.0
linear_svr,-152.82362083696773,1.177605004345509,6.340741978889167,0.47819859510166307,-167.75387636861518,0.0,0.0,0.0,0.0,0.0
mlp,-596408.4387379221,115.37206924579202,35417.08114479702,65.47468365396969,-952337.0323903512,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.13694371438509348,0.16644378732640513,0.04454844790406973,0.14648960368955705,-0.19768181192595402,0.0,0.0,0.0,0.0,0.0
