,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-7.651642615525821,0.19128875161674042,0.30086857120647154,0.028873802167754502,-7.818657622932522,0.0,0.0,0.0,0.0,0.0
huber,-0.44573709156075464,0.17354976889181456,0.05625516001771199,0.13837582606667057,-0.5415734205875606,0.0,0.0,0.0,0.0,0.0
theil_sen,-4.591882572930819,0.2083793840140337,0.19961745778898446,0.0760962322028272,-4.690508996059451,0.0,0.0,0.0,0.0,0.0
linear,0.37804104456963483,0.1150139949498565,0.022425714463049893,0.08128716323738769,0.3507161498855226,0.0,0.0,0.0,0.0,0.0
ard,,,,,,,,,,
orthogonal_matching,0.07529720706993642,0.1467399759716595,0.03422577771031858,0.10939137343698468,0.009922583891280978,0.0,0.0,0.0,0.0,0.0
elastic_net,0.12380419859796957,0.14954836025343704,0.03300064011808292,0.1261364573408417,0.06764893915960643,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.37989565058102587,0.11528882917780395,0.02247312640552489,0.08397120945956063,0.35105024305642496,0.0,0.0,0.0,0.0,0.0
lasso_lars,1.1102230246251566e-17,0.15883177257739392,0.038048393252639284,0.14054942725402736,-0.06918526848469242,0.0,0.0,0.0,0.0,0.0
lasso,0.12335953567669904,0.1493332521002066,0.03301932169451057,0.12630781509902006,0.06681203358084063,0.0,0.0,0.0,0.0,0.0
ridge,0.37907008205466397,0.11639350331935758,0.02269261392148487,0.0868100066544909,0.34720408193859414,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9905911369216772,0.009282532816266079,0.0003300727754170995,0.004534929549488901,0.9903583617995226,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9899497054159546,0.006806418404706406,0.0003657681504969473,0.0026727262562850017,0.989606566700165,0.0,0.0,0.0,0.0,0.0
svr,0.8124859805606424,0.07600171558523328,0.006810032520045537,0.08774561724768473,0.799326220589388,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9920197986027522,0.006331161480589748,0.00033329088204865723,0.002856597163066485,0.991752327187098,0.0,0.0,0.0,0.0,0.0
linear_svr,-189.21155601797727,1.3307393316515177,8.828813747332207,0.49866747320650956,-231.4107763003895,0.0,0.0,0.0,0.0,0.0
mlp,-729558.7240670332,102.79153015918067,41196.542704645,56.2438785299061,-1078847.421284212,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.1662994575331497,0.16260791185556864,0.04304997425903921,0.1345755976964205,-0.24452318566467685,0.0,0.0,0.0,0.0,0.0
