,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.7949613377397848,0.07872790940763354,0.010762242142097738,0.06742503888341424,0.7759721404745121,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9933259011245653,0.012382861150204044,0.000344045585180646,0.007616846952884176,0.9930321880269416,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9974150460893609,0.0032478671792144456,0.00019724845768628865,0.0004505891478452831,0.9971953805234973,0.0,0.0,0.0,0.0,0.0
elastic_net,0.658911369845393,0.12159073170965988,0.021519558921769474,0.10110401267828825,0.6222417420215753,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9996215265155236,0.001634763991038983,1.7106817373678685e-05,0.00037069392470868154,0.9995766413591667,0.0,0.0,0.0,0.0,0.0
huber,0.48712435994860626,0.14970413488048906,0.05354905074063265,0.10800200380023277,0.34560734173186264,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5672554694613055,0.14376427617355947,0.031098892601658167,0.1402434734193987,0.4678215434148421,0.0,0.0,0.0,0.0,0.0
lasso,0.6187912219428966,0.12511294664361616,0.022915880273047227,0.09638233400731033,0.5852077697972643,0.0,0.0,0.0,0.0,0.0
lasso_lars,5.551115123125783e-17,0.24584168439626622,0.0819462705699807,0.19902655708568676,-0.19597573041978178,0.0,0.0,0.0,0.0,0.0
linear,0.993482719387411,0.012174841078172235,0.00034104463393463,0.0071086754473904945,0.993160549066751,0.0,0.0,0.0,0.0,0.0
linear_svr,-1.4121729203707245,0.3187046453587933,0.2165032911225057,0.28285814552999705,-4.9825365663550025,0.0,0.0,0.0,0.0,0.0
mlp,-332539.5939000897,143.33226734263377,38268.16855512514,115.95064047742366,-718327.7505953626,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9991800100789915,0.0025421561509217623,4.2254513410089845e-05,0.0013909267711708778,0.9991116080588522,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2691258981071295,0.17097182212345768,0.04324966188511046,0.13699900094612905,0.20612165644690505,0.0,0.0,0.0,0.0,0.0
ransac,-0.7668211978353657,0.09844535217035202,0.17061190815686547,0.009061664101192812,-1.1008380840735117,0.0,0.0,0.0,0.0,0.0
ridge,0.9735645530544434,0.0264499035513501,0.0012482863516188117,0.01894469360424352,0.9718030498678821,0.0,0.0,0.0,0.0,0.0
svr,0.8978542505678389,0.09543767237657952,0.009180806603078394,0.09721300641425043,0.8226879310217521,0.0,0.0,0.0,0.0,0.0
theil_sen,0.44161688653117165,0.1127526998426059,0.034441232451281396,0.05923148520509649,0.3915824221079326,0.0,0.0,0.0,0.0,0.0
