,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.7870797401065774,0.07901936728116228,0.01113400898483764,0.0671782290797858,0.7670361172025019,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9939187655252912,0.012456604859164892,0.00031759760472327675,0.007945969881537836,0.9936875212162173,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9992385995239207,0.002107621797557712,4.643465742794119e-05,0.0005029838008318716,0.9991940453500241,0.0,0.0,0.0,0.0,0.0
elastic_net,0.6588473861690434,0.12117682424492568,0.021434783142414947,0.10042946064548412,0.6229521779869753,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.998317376689817,0.002693171377590409,8.750029000710561e-05,0.00034980676230474963,0.9981157100493011,0.0,0.0,0.0,0.0,0.0
huber,0.42051438275310665,0.1582096476799325,0.058713220256792056,0.11081230357344803,0.2768663886156394,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5673074793570102,0.14350737014662146,0.031182261154309953,0.1392208099686914,0.46815590554725367,0.0,0.0,0.0,0.0,0.0
lasso,0.6213067833170514,0.12451087940232901,0.022722692273169646,0.0955252291117958,0.5884701091577896,0.0,0.0,0.0,0.0,0.0
lasso_lars,1.1102230246251566e-17,0.2456816713952422,0.08176926581228908,0.1988279230219964,-0.1954153523210917,0.0,0.0,0.0,0.0,0.0
linear,0.9940725722408775,0.012323473972021784,0.0003146710498730801,0.007617243974065993,0.9938186838478703,0.0,0.0,0.0,0.0,0.0
linear_svr,-0.5524492127022063,0.36153887302842114,0.2733121427340744,0.34479917798842036,-2.9368172807335178,0.0,0.0,0.0,0.0,0.0
mlp,-348997.5705621891,144.54768899464247,39275.7770882676,121.9867967564918,-649320.8950916196,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9995579973348594,0.002388173667079729,2.523548845569018e-05,0.00140892251319516,0.9995223791162408,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2735842131223897,0.17055101546295462,0.04316067443574913,0.1372842784335238,0.2102900740249173,0.0,0.0,0.0,0.0,0.0
ransac,0.5119408800400056,0.036945043314451934,0.018080869236507507,0.007262235174746753,0.4420758329584717,0.0,0.0,0.0,0.0,0.0
ridge,0.9744144663804615,0.026548186611644882,0.001217346880934676,0.0187057502499617,0.9726763181603053,0.0,0.0,0.0,0.0,0.0
svr,0.8989348393430976,0.09465620910047966,0.0090339422334471,0.09714260722161121,0.8265187700419083,0.0,0.0,0.0,0.0,0.0
theil_sen,0.4240625092558976,0.11642851181463627,0.03512220306487887,0.06484087341727132,0.3534924771347263,0.0,0.0,0.0,0.0,0.0
