,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.5369421748032588,0.07955874772504506,0.011188070314741064,0.06989991645516395,0.41012114332793076,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.977901101116937,0.019390904536799335,0.0006209914257712413,0.015482458680000616,0.9773854708595235,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9967585714914777,0.0045574012137141375,7.055590632125812e-05,0.001877347577605544,0.9967274870394786,0.0,0.0,0.0,0.0,0.0
elastic_net,0.8552519577916456,0.0751478895071184,0.007593817121154528,0.07724014562658307,0.8338368421216359,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9862022111453381,0.006597571505882754,0.0004904202950411271,0.0018956231636446442,0.9854040103069168,0.0,0.0,0.0,0.0,0.0
huber,0.6975691786670604,0.09941223888543319,0.02310032073935111,0.07744537515868766,0.610491773530125,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.6982689755773495,0.08992868872488793,0.012418591215056542,0.08892990032162736,0.6577292726756556,0.0,0.0,0.0,0.0,0.0
lasso,0.8608493588421421,0.07561886610786048,0.007647503579792897,0.07666448021504284,0.8394138402174012,0.0,0.0,0.0,0.0,0.0
lasso_lars,0.0,0.24431354312641956,0.08179537828500762,0.2129603644263695,-0.5408991874013485,0.0,0.0,0.0,0.0,0.0
linear,0.9915493929708555,0.012592346619198756,0.00027951924101067923,0.009448891182391663,0.9914064240984996,0.0,0.0,0.0,0.0,0.0
linear_svr,0.1282511984738189,0.20202569416256505,0.08080626124203666,0.1664129358277846,-0.9521313399191523,0.0,0.0,0.0,0.0,0.0
mlp,-471730.7988309854,145.0203849150013,44905.48122180319,128.27964790842387,-1349990.2626531068,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9968999914678754,0.006193398696094899,7.752796158784722e-05,0.004076254222754115,0.9968418999071378,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.8409661987590601,0.08211012858755723,0.00946296987121896,0.0829917819506087,0.7955199173348995,0.0,0.0,0.0,0.0,0.0
ransac,-4.944287808270364,0.09678917144562604,0.08974637623717839,0.011435181448464614,-5.580475853377761,0.0,0.0,0.0,0.0,0.0
ridge,0.9778645746650234,0.019257178313952107,0.0006201466408954371,0.015190346645837577,0.9773589513127696,0.0,0.0,0.0,0.0,0.0
svr,0.9194230216970561,0.08656938872232353,0.007740322174884709,0.08869104340071395,0.7448742704453856,0.0,0.0,0.0,0.0,0.0
theil_sen,0.5370387620534992,0.08283808654774769,0.014201881189594437,0.05930863193261955,0.2471809337524949,0.0,0.0,0.0,0.0,0.0
