,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.3945232946921054,0.08893842355077321,0.012915974999387722,0.08252265883432411,0.2479497443636774,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9701633733474406,0.01991573821672417,0.0006767952550821316,0.016286932122953353,0.969009308907318,0.0,0.0,0.0,0.0,0.0
decision_tree,0.994690872759322,0.005238150582530637,9.047870661511592e-05,0.001892846834329985,0.9945494997471263,0.0,0.0,0.0,0.0,0.0
elastic_net,0.8595787172504379,0.07258528041070889,0.007296748823713705,0.07236777791112536,0.8330476565976801,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9905413401601566,0.00545615099295013,0.00016403120302795022,0.0016075385697275567,0.9902561635978016,0.0,0.0,0.0,0.0,0.0
huber,0.7625928459862793,0.09905674009485028,0.021500184845060322,0.0863265248422187,0.6708909107525992,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.6362728832825104,0.09102235070105802,0.012559973985486857,0.08916558284113707,0.588212291701297,0.0,0.0,0.0,0.0,0.0
lasso,0.8662798963569825,0.07293407044302216,0.007350065572126201,0.07206976503213547,0.8398811851351997,0.0,0.0,0.0,0.0,0.0
lasso_lars,0.0,0.2490146488281082,0.08377899030137917,0.21805484942119263,-0.7049462284988048,0.0,0.0,0.0,0.0,0.0
linear,0.9821651972544542,0.016347873645806234,0.00041905372818651625,0.01391741643789463,0.9814560025149467,0.0,0.0,0.0,0.0,0.0
linear_svr,-0.43629383765415797,0.250982055986535,0.13530085412232773,0.21425171187683598,-1.5634156456751829,0.0,0.0,0.0,0.0,0.0
mlp,-201383.45564902257,134.43125646253776,39550.94473744223,102.18382915223663,-467339.57257952366,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9943045243811455,0.007001734767878858,0.00011406129790475575,0.004352975983222543,0.9942225727827123,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.8702690228500473,0.07647933609357148,0.008382178494251378,0.07517118205802797,0.8245451857516908,0.0,0.0,0.0,0.0,0.0
ransac,0.9468420484733893,0.02082292632818312,0.003879867344880416,0.012776611216101135,0.942876342138991,0.0,0.0,0.0,0.0,0.0
ridge,0.9700489533649821,0.0198479638357087,0.0006768446060574845,0.016296546663250082,0.9689675143979499,0.0,0.0,0.0,0.0,0.0
svr,0.9125889087748401,0.07792141520853743,0.006845295312726933,0.08546116272999041,0.7895631278672377,0.0,0.0,0.0,0.0,0.0
theil_sen,0.5294562515508886,0.07970566342000053,0.013013878940785987,0.06434210806836897,0.4049175817502169,0.0,0.0,0.0,0.0,0.0
