,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.9900075412936289,0.0298850113695574,0.0016836571200485096,0.024238946984625646,0.9893989203898734,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9927395413311044,0.02315167682957983,0.0011842885662839034,0.014602426446052438,0.9925903883602434,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9978733849807222,0.009479918822235029,0.00036595128852572305,0.003857849410050579,0.9975218213611609,0.0,0.0,0.0,0.0,0.0
elastic_net,0.9379540053037492,0.0915560706311926,0.011291319134855685,0.08351118728601066,0.9268138183662838,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9618702212350577,0.030035969395791968,0.006529161266121816,0.007405643317952251,0.9560938949876112,0.0,0.0,0.0,0.0,0.0
huber,0.9205792748521,0.09350627537209054,0.014606098940021567,0.07556144882653393,0.905198759123081,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.9838339169765892,0.04256828049534041,0.002723588321060512,0.03855424216249129,0.9826072611579558,0.0,0.0,0.0,0.0,0.0
lasso,0.9178367157252515,0.10362493012640832,0.014300275305212534,0.09188435311252574,0.9076617037134721,0.0,0.0,0.0,0.0,0.0
lasso_lars,1.1102230246251566e-17,0.41559530591183547,0.1838994884911811,0.4425616421664376,-0.18387749015457155,0.0,0.0,0.0,0.0,0.0
linear,0.9936036336764614,0.02145861464342641,0.0010709549297374173,0.012628455266223897,0.9933414703455095,0.0,0.0,0.0,0.0,0.0
linear_svr,0.8612824930938032,0.13855183146236777,0.03812329645232326,0.11216532164413669,0.7390429800412278,0.0,0.0,0.0,0.0,0.0
mlp,-145756.58190770523,140.9062105620853,47141.41282036558,129.8610349653886,-321782.90141659015,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9975525311740647,0.011316191184662112,0.0004593543279870982,0.006289280321703808,0.9972504305694029,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.9633897483306006,0.05690605578087784,0.005916112396034911,0.04342297900941226,0.9618690624052426,0.0,0.0,0.0,0.0,0.0
ransac,0.9936158365763361,0.021345630324942792,0.001064644709438118,0.012594222768077581,0.9933800212780113,0.0,0.0,0.0,0.0,0.0
ridge,0.9842048665444872,0.0429817579120793,0.0027392468599437745,0.04015960273819548,0.9822984576349294,0.0,0.0,0.0,0.0,0.0
svr,0.9580232659252621,0.08605801742385046,0.007850882785821812,0.09135137547731914,0.9496628929494815,0.0,0.0,0.0,0.0,0.0
theil_sen,0.9306882599994152,0.10223298995530242,0.014158495104227722,0.09732659926718185,0.9077698532966274,0.0,0.0,0.0,0.0,0.0
