,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.948052777123347,0.008129517557698768,0.000252157446957676,0.00561682093123107,0.9439146145372282,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9813004585680651,0.0060286697638689355,7.819547869428147e-05,0.004809024238873938,0.9792132680921813,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9961441909411344,0.0014983995419460142,1.484162205424237e-05,0.00031096991597517887,0.9956288117677591,0.0,0.0,0.0,0.0,0.0
elastic_net,0.6648308436713058,0.02676221389085448,0.0013271509898107531,0.02126220505874219,0.6577894901766537,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9902542166117145,0.00217677949223092,4.389004106255254e-05,0.0002636855419701767,0.9893144719609298,0.0,0.0,0.0,0.0,0.0
huber,-5.264501795655243,0.11663196437343695,0.026526673638599046,0.0891466701276494,-6.372450924142602,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-1.8912142994462275,0.0942981658508771,0.012253305710146977,0.09168115441903771,-2.51602090490556,0.0,0.0,0.0,0.0,0.0
lasso,0.6587898042659684,0.025773891304231338,0.0013718047830848057,0.019699726774795534,0.6498962579276392,0.0,0.0,0.0,0.0,0.0
lasso_lars,-2.2204460492503132e-17,0.05458874413440805,0.004108748562108594,0.05352708916755755,-0.1039786839834291,0.0,0.0,0.0,0.0,0.0
linear,0.9813664421517938,0.006005989905939869,7.810258201398592e-05,0.004850953525743029,0.9793230422775429,0.0,0.0,0.0,0.0,0.0
linear_svr,-23.141588118486084,0.2644465641059669,0.24426881490198582,0.19426386309097407,-82.9446909750047,0.0,0.0,0.0,0.0,0.0
mlp,-4311616.356754228,128.30085740638808,37889.0738987747,114.11643202905452,-11738579.372844085,0.0,0.0,0.0,0.0,0.0
nu_svr,0.993015533972533,0.002517320769488489,2.716625228988284e-05,0.0010140380478491306,0.9922654488372175,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.6867992368459379,0.020108420499082992,0.0013722252361014092,0.008390176162075203,0.6627861510484505,0.0,0.0,0.0,0.0,0.0
ransac,0.9813744597978571,0.006006384621120414,7.84159694573416e-05,0.0046748286156581996,0.9792563693889809,0.0,0.0,0.0,0.0,0.0
ridge,0.9786793172405751,0.006818231120278415,8.861981091881886e-05,0.005606999930257983,0.9764532294500642,0.0,0.0,0.0,0.0,0.0
svr,0.31973238938394927,0.05882598104005147,0.005072955947432114,0.06427662193065661,-0.4812717733987787,0.0,0.0,0.0,0.0,0.0
theil_sen,0.1881964657086137,0.040171632907482324,0.0033633829696048,0.02879476052946354,-0.0595119952585534,0.0,0.0,0.0,0.0,0.0
