,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.10951875509719793,0.14875073405559225,0.033920779632626644,0.12422367153008854,0.08566609451401135,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.3491363387968528,0.12624636074675494,0.02458987919170139,0.09902688296278035,0.335274896827991,0.0,0.0,0.0,0.0,0.0
decision_tree,0.996996013901487,0.006437282771383711,0.00011132639482397931,0.003808948346759891,0.9969207969324303,0.0,0.0,0.0,0.0,0.0
elastic_net,0.13888047397581998,0.15106849412729545,0.032894869469460755,0.12606363567433965,0.11703337627354596,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9837234726730711,0.011650529771496086,0.0005630362133180677,0.005184413891143935,0.983069599821186,0.0,0.0,0.0,0.0,0.0
huber,-0.1401900539776549,0.1639648088755505,0.04444111938143808,0.1350333080662606,-0.18541403205454116,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.026867440348812343,0.1510940295443718,0.03708555606567399,0.11786187223262586,0.011900258808519026,0.0,0.0,0.0,0.0,0.0
lasso,0.13878217765961512,0.15083740294468045,0.03290402276482861,0.12452341917596847,0.11671934843240014,0.0,0.0,0.0,0.0,0.0
lasso_lars,7.771561172376095e-17,0.16311463518479521,0.038294582449126355,0.14355571780008555,-0.030747304817000387,0.0,0.0,0.0,0.0,0.0
linear,0.34958794877713373,0.12570548571725035,0.02454541057579703,0.09627568121404435,0.3362102847576642,0.0,0.0,0.0,0.0,0.0
linear_svr,-164.8049364580187,1.1754088269575533,6.907180294830768,0.37582695394255444,-185.38140830729475,0.0,0.0,0.0,0.0,0.0
mlp,-180492.76114894857,48.9746463001356,11018.552013334625,30.74493688858688,-291580.35133870953,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9965594264526144,0.005736123760956285,0.00012349591545021967,0.0036279312756792997,0.9963645632478342,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.11180595392831694,0.1464773670572384,0.033837887887454725,0.122095257574484,0.0884591538043463,0.0,0.0,0.0,0.0,0.0
ransac,-21.762153476234126,0.33054466038145996,0.9147275912946489,0.050051785293942476,-23.70992342592343,0.0,0.0,0.0,0.0,0.0
ridge,0.3456423207692878,0.12696991599371943,0.02475356659303022,0.10078182003890834,0.3311837537299366,0.0,0.0,0.0,0.0,0.0
svr,0.8187038824667183,0.07697207069671241,0.006787402750034673,0.08959074584712352,0.8158662018754708,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.7591472759392963,0.21130944287661801,0.18025087955663283,0.07568933204615955,-3.82367719054254,0.0,0.0,0.0,0.0,0.0
