,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.08964318089394986,0.15090849517650534,0.03415682716418593,0.12517260011058517,0.060885293570080934,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.3271576924271672,0.12680318642649294,0.025081143737801022,0.09932362039361914,0.3077219204047358,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9807592669771378,0.008450756540621,0.0006607575068463998,0.00358756489416632,0.9796240745673677,0.0,0.0,0.0,0.0,0.0
elastic_net,0.13342167626453705,0.14999269421363187,0.03263347218226806,0.12544334600984908,0.1079515823037833,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.8789753503069073,0.01781769260588824,0.004259967058809954,0.00482982258594773,0.874343260358056,0.0,0.0,0.0,0.0,0.0
huber,-0.33258115635864716,0.17193100315861803,0.0513746461036048,0.13772521606095403,-0.390790986562518,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.03561684793166214,0.15448910320961023,0.03880634900032143,0.12328977675647013,-0.05370665973138376,0.0,0.0,0.0,0.0,0.0
lasso,0.133272832320466,0.14976375504224634,0.032643826707620754,0.12512540028496508,0.1076138385810507,0.0,0.0,0.0,0.0,0.0
lasso_lars,2.2204460492503132e-17,0.16113605169461048,0.03774007145642737,0.14427103148967108,-0.033961954916097395,0.0,0.0,0.0,0.0,0.0
linear,0.3274026119064538,0.12613753811124448,0.025035023135246165,0.09650257331169927,0.3084763017384903,0.0,0.0,0.0,0.0,0.0
linear_svr,-112.48537613133351,0.910038613481402,4.430019521606887,0.30188213892369553,-120.46801470191845,0.0,0.0,0.0,0.0,0.0
mlp,-380537.9670963026,63.014661498727264,20616.6218373549,33.484249908534245,-559642.0043705029,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9766211976938747,0.00877233870885763,0.0008019581058544796,0.0032970736228088355,0.9751770896369122,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.08947333587508349,0.14897483153133584,0.03416114921635066,0.12546225795425756,0.06172157585608534,0.0,0.0,0.0,0.0,0.0
ransac,-14.90331204735518,0.31142993700546656,0.6256043859410613,0.045435308767864314,-16.25477562544653,0.0,0.0,0.0,0.0,0.0
ridge,0.3242133527079855,0.12815910737847036,0.02522056255163682,0.10111277760971771,0.3043171539912521,0.0,0.0,0.0,0.0,0.0
svr,0.8157495499852099,0.07515573391048389,0.0067383167212711845,0.08860550969310903,0.8122821532062758,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.664874591337649,0.21378184474426254,0.17388875142110918,0.07735956388607008,-3.7355569448550954,0.0,0.0,0.0,0.0,0.0
