,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-18.74595561065008,0.30108271173224976,0.8309648210322067,0.03243260888316084,-20.661727303912294,0.0,0.0,0.0,0.0,0.0
huber,-0.3412158868999561,0.1718183796088663,0.05716960002835706,0.13644197339105016,-0.4332700524640649,0.0,0.0,0.0,0.0,0.0
theil_sen,-4.082594223024758,0.21964632947226664,0.1989243415275069,0.06972118782212908,-4.231504333593778,0.0,0.0,0.0,0.0,0.0
linear,0.3985120938446439,0.11739596805774144,0.024762265167777905,0.08309332749330209,0.3689417861915517,0.0,0.0,0.0,0.0,0.0
ard,,,,,,,,,,
orthogonal_matching,0.09565702069608321,0.14662952453914885,0.036735180588963454,0.11594308039777328,0.07983304349033804,0.0,0.0,0.0,0.0,0.0
elastic_net,0.14479007039796557,0.1499526673319335,0.03489234369773517,0.12498885148307437,0.10351119398367323,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.3966833329429219,0.11756505305473093,0.024810440925183995,0.08320812492126775,0.3677569040457264,0.0,0.0,0.0,0.0,0.0
lasso_lars,-1.2212453270876723e-16,0.15762915852913983,0.04044669731061208,0.14193960967867567,-0.026857122641568698,0.0,0.0,0.0,0.0,0.0
lasso,0.14391414199988972,0.14972605830735164,0.0349029214200746,0.12531637883777827,0.10350229771231063,0.0,0.0,0.0,0.0,0.0
ridge,0.39230988407997097,0.11861130986456425,0.0249456694831802,0.08613661117146415,0.3641355584238616,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9650456352621617,0.013184139158710289,0.0012794297731629938,0.00398866191832446,0.9641020450783415,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9817972173053631,0.008297405617549799,0.0007677528950730698,0.0029377874903139672,0.9813721099608979,0.0,0.0,0.0,0.0,0.0
svr,0.8304111928564151,0.07608974977479124,0.006763432511770487,0.0858870026971151,0.8205790076574828,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9891483515066634,0.006591601181257169,0.0004504148461712337,0.0031056804242907297,0.9887842836727927,0.0,0.0,0.0,0.0,0.0
linear_svr,-192.66434728494556,1.2581288359454441,7.9160033574734925,0.36971863761352514,-214.02713114759408,0.0,0.0,0.0,0.0,0.0
mlp,-548630.2669381814,89.59791660775207,32859.80614235229,53.0175604827941,-867896.9862902339,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.20187486263405927,0.17077618096046704,0.04895206463116207,0.14838237189173137,-0.26943434705846736,0.0,0.0,0.0,0.0,0.0
