,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-0.978412052349596,0.16448470896998899,0.13863213066545327,0.03800153842818442,-1.063118980698367,0.0,0.0,0.0,0.0,0.0
huber,-0.10421081808970836,0.1894233300752443,0.07556381909620345,0.13712966326642145,-0.16074126589326007,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.24726671141755868,0.17065189162659494,0.0855057484587581,0.06802056754260885,-0.2983671002317021,0.0,0.0,0.0,0.0,0.0
linear,0.4722191900338868,0.12586486365345906,0.03537200552954252,0.07367293237821974,0.4616203797948014,0.0,0.0,0.0,0.0,0.0
ard,,,,,,,,,,
orthogonal_matching,0.22256408694791804,0.16721294681998633,0.05218123035699944,0.12085294669749214,0.1979925793617839,0.0,0.0,0.0,0.0,0.0
elastic_net,0.22008078496581232,0.17785656522892368,0.05264935091200581,0.15789124096494944,0.18799907015992365,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.4717320456705723,0.12704571291414718,0.03542191628834382,0.07380300510307428,0.46083383712556947,0.0,0.0,0.0,0.0,0.0
lasso_lars,-4.4408920985006264e-17,0.2183246748082759,0.0670666683630472,0.2069548234070861,-0.02585301134991789,0.0,0.0,0.0,0.0,0.0
lasso,0.21982053744698576,0.17803679072134654,0.05266301863144627,0.15778040625851178,0.1876719708478447,0.0,0.0,0.0,0.0,0.0
ridge,0.4680466775030941,0.13055551485137967,0.03570924498277458,0.0761889551047958,0.4562757824208162,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9373689909105494,0.018264079737285215,0.004732540368001552,0.004174674959525455,0.9349820200050052,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9815789412466384,0.010885550742892531,0.0012036605197140826,0.0033645434408235164,0.9811671803146493,0.0,0.0,0.0,0.0,0.0
svr,0.8896830921082589,0.08285848222856518,0.0076794455299594834,0.09196645201414626,0.881135349163676,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9806489613992209,0.010837251641168198,0.0013382971010927776,0.0034986127402753995,0.9796839324069587,0.0,0.0,0.0,0.0,0.0
linear_svr,-68.87890138920855,1.1938913381147596,5.089392954008984,0.4790887003375953,-79.11602406070556,0.0,0.0,0.0,0.0,0.0
mlp,-515794.155455928,115.41487748611287,44852.11983371914,65.43131317379712,-704895.1923406449,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.05807100155375292,0.19728686463117023,0.06388262554000747,0.16451533056305942,0.019855641037866578,0.0,0.0,0.0,0.0,0.0
