,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-19.449005943183113,0.25622115014150604,0.7133502424590998,0.02892006793232537,-20.255457796569573,0.0,0.0,0.0,0.0,0.0
huber,-0.4501433985699667,0.17506695711007603,0.06760109459307764,0.11662272764643355,-0.5872956777349875,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.4110619436209277,0.21160487934086808,0.185654992813712,0.07204894943549386,-3.5302348733067044,0.0,0.0,0.0,0.0,0.0
linear,0.3814918518121705,0.11914264758806373,0.02658065413818387,0.08084987002939022,0.351105003076161,0.0,0.0,0.0,0.0,0.0
ard,0.14514324688290123,0.1420018830098842,0.0371632026716685,0.10963664241762176,0.12172256125658687,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,-0.0030962073985700057,0.1592650047850792,0.0426430917216977,0.12935846466023376,-0.03863094935724913,0.0,0.0,0.0,0.0,0.0
elastic_net,0.11332341927126903,0.15743230793680957,0.03792520609242563,0.13871796740351425,0.0671570489817818,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.3799533393891824,0.1198869891499585,0.026630320130535796,0.08254358028521558,0.35006003568648514,0.0,0.0,0.0,0.0,0.0
lasso_lars,0.0,0.16248945887323313,0.04323726019826824,0.14476399734003098,-0.034201684373733145,0.0,0.0,0.0,0.0,0.0
lasso,0.11235449597071297,0.15731613223137395,0.037937544392852116,0.1391914624666452,0.0671934059482377,0.0,0.0,0.0,0.0,0.0
ridge,0.3762180790340297,0.12197110642739536,0.026763183844639816,0.0870639131995679,0.3468376013005666,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.972673435411453,0.011060402953323131,0.0012053253194705496,0.002013652957148113,0.9718281981547074,0.0,0.0,0.0,0.0,0.0
decision_tree,0.970541733961317,0.009944821252418842,0.0012988851737120652,0.0019143887890311906,0.9696085889616338,0.0,0.0,0.0,0.0,0.0
svr,0.8242917212725193,0.07821612608090336,0.007408709016455224,0.0896142718024317,0.8078016117698397,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9706554825037337,0.008245085153193492,0.001125550229247787,0.0022652151933172104,0.9695328663114363,0.0,0.0,0.0,0.0,0.0
linear_svr,-513.6063631153734,2.48791207021954,28.177018951541378,1.1984812812255548,-928.2454001857892,0.0,0.0,0.0,0.0,0.0
mlp,-449373.1967414445,83.50584211324141,25639.194798935794,45.39092611844211,-698953.9643439414,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.2550516478085398,0.17484795508781673,0.053671242372056074,0.14793273657244943,-0.33318980396965453,0.0,0.0,0.0,0.0,0.0
