,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-6.957344744658147,0.3470343377932089,0.8858246043865116,0.06737262068801421,-7.754767156941801,0.0,0.0,0.0,0.0,0.0
huber,0.29178704803241934,0.1863382929639667,0.07656348458333948,0.12208344360997454,0.1901397262149667,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.083932484785896,0.27795293746941424,0.4142794557988971,0.09278713951522569,-3.2166580684313018,0.0,0.0,0.0,0.0,0.0
linear,0.5532735281014626,0.1716500275872846,0.04406486794377022,0.16101099190895754,0.5271379360695663,0.0,0.0,0.0,0.0,0.0
ard,,,,,,,,,,
orthogonal_matching,0.4447675580563101,0.1884222457583389,0.0541099408453495,0.1657493808350385,0.42279759781096393,0.0,0.0,0.0,0.0,0.0
elastic_net,0.30060091786652376,0.22853842859754284,0.07050087414215508,0.21332418969816383,0.26073425264230543,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5531209972036436,0.17443615335876375,0.04417497199252364,0.15727962525323366,0.5260594974228563,0.0,0.0,0.0,0.0,0.0
lasso_lars,-8.881784197001253e-17,0.2941067629633173,0.10210663500215647,0.30222822460717647,-0.06064087369975788,0.0,0.0,0.0,0.0,0.0
lasso,0.2755892567394815,0.23827957361490607,0.07293249943668287,0.22314075919075224,0.23587564735505023,0.0,0.0,0.0,0.0,0.0
ridge,0.5513733316086855,0.17688729263011863,0.04444013997542086,0.15332243473429513,0.5233375989410012,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9348959851712058,0.030327946907609964,0.006043491122605877,0.010519424090258212,0.9336440479113334,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9956102849764334,0.012226645439868197,0.00040787747721259037,0.007130332176316594,0.995509398907456,0.0,0.0,0.0,0.0,0.0
svr,0.9264807434517749,0.08299998257799934,0.007428036705457006,0.09040403501641739,0.9213796067162747,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9970737355263772,0.010128512255264534,0.0002761378111199223,0.006006954935091587,0.9969290048962044,0.0,0.0,0.0,0.0,0.0
linear_svr,-55.94118755872122,1.1648744792296033,5.821028608995129,0.4553994728404424,-61.37283125825375,0.0,0.0,0.0,0.0,0.0
mlp,-209371.70593335177,79.60715016517833,26250.816815192415,42.138647823995115,-283038.0820410134,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5542368549761854,0.17621160399520003,0.04418032609106355,0.15331219819206393,0.5262280751893096,0.0,0.0,0.0,0.0,0.0
