,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-0.9449670852070277,0.1600863366716922,0.12929039536553188,0.040172845092053655,-1.0244768024900028,0.0,0.0,0.0,0.0,0.0
huber,-0.06629161955236308,0.18492834517397655,0.07085657274281039,0.14630444147657615,-0.13047878497273452,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.5068302676260185,0.1729901831303257,0.09820033672254991,0.06623374148515775,-0.6061453695085922,0.0,0.0,0.0,0.0,0.0
linear,0.49652321991249276,0.11892540233696491,0.03242324166718826,0.06003389853592568,0.4826401967198365,0.0,0.0,0.0,0.0,0.0
ard,0.4293122444433677,0.13158479050517832,0.03658294312814677,0.07485737858075962,0.4150175084958409,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.25040966594587133,0.16417027302865878,0.049126356862264416,0.10528718831928922,0.21251049559742938,0.0,0.0,0.0,0.0,0.0
elastic_net,0.24275343550717993,0.17535131291768874,0.04968951713262826,0.16231347958832149,0.19965835611628385,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.4958254579497819,0.12040288174050659,0.03247292885046658,0.05943280099135728,0.48193879645131077,0.0,0.0,0.0,0.0,0.0
lasso_lars,3.3306690738754695e-17,0.21724184725056936,0.06525682921174189,0.21633797430068755,-0.06222476201186607,0.0,0.0,0.0,0.0,0.0
lasso,0.24257615185526077,0.17490585560918234,0.04973795872147767,0.16086780097532105,0.1992473721849989,0.0,0.0,0.0,0.0,0.0
ridge,0.49159204519279254,0.12407898093024594,0.03275483799620339,0.06391950520446872,0.47737992581653443,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9501019361039171,0.016561840687815892,0.0033890210120493883,0.003959855503166555,0.9491454341771485,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9769716942818689,0.011258290563209294,0.0014483317523377747,0.0029632785571048178,0.9760101969918363,0.0,0.0,0.0,0.0,0.0
svr,0.8833040970439932,0.0816148475183247,0.007652999829722197,0.09203926264440394,0.8750348193624304,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9924353285930003,0.007646659090314589,0.0005303220134759505,0.003269431142480872,0.9921717363144843,0.0,0.0,0.0,0.0,0.0
linear_svr,-105.10878706403518,1.4337173280433468,9.597248038952058,0.542159988617026,-149.62012703310518,0.0,0.0,0.0,0.0,0.0
mlp,-507403.92098153755,111.8292032986154,41925.36387253221,68.10420380110864,-683955.3178194797,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.008628776627074074,0.19684454873210808,0.06431136781963906,0.16809085259136575,-0.04720169514665823,0.0,0.0,0.0,0.0,0.0
