,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-8.424251908363624,0.2683176436016285,0.4904412161205733,0.05264789398536875,-8.8214227719232,0.0,0.0,0.0,0.0,0.0
huber,0.2757180138764559,0.14938495891307393,0.03848366013046228,0.11266854920590086,0.19566379401782927,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.8237982904917132,0.18274832425768026,0.09024416354997038,0.0836309073566398,-0.9152745940742693,0.0,0.0,0.0,0.0,0.0
linear,0.5727203442334651,0.1156638369133695,0.021218943426710296,0.0946947675504808,0.5539103322689919,0.0,0.0,0.0,0.0,0.0
ard,0.4045808413498319,0.13485108552999667,0.02873379346306095,0.11435836660594485,0.3918052530042738,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.34242430370604365,0.14674627118107858,0.03198362897611586,0.14104849367384004,0.32748967713415933,0.0,0.0,0.0,0.0,0.0
elastic_net,0.3155414110327264,0.15304072764333282,0.03447929460835529,0.13952474072324256,0.2845524186497223,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5729317597461213,0.11612628201781461,0.02125287636512294,0.09394132316942119,0.5535038004406094,0.0,0.0,0.0,0.0,0.0
lasso_lars,-4.4408920985006264e-17,0.20132680127125532,0.050328330657841244,0.18071428245316587,-0.039444237171438544,0.0,0.0,0.0,0.0,0.0
lasso,0.2749751731141767,0.16168696027757185,0.036429557907552215,0.1469939425762555,0.24451394116750644,0.0,0.0,0.0,0.0,0.0
ridge,0.5705352591577192,0.11673621363209885,0.02143095754947803,0.09604226940667451,0.5501945797790434,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9665626917825426,0.015927613961766438,0.0017163201147558324,0.005976985061721627,0.9653058309991532,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9826149168135497,0.010819733880942036,0.0008519563266268825,0.004952992701728512,0.9823704830334792,0.0,0.0,0.0,0.0,0.0
svr,0.8552170022443754,0.0832374057026123,0.007483894856843162,0.0871308113247464,0.8424959913687786,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9889919725539835,0.008895063171379888,0.0004997294302718923,0.003962796415751516,0.9883700513611297,0.0,0.0,0.0,0.0,0.0
linear_svr,-109.43349973857187,0.9508066678010595,5.616802987508248,0.2694713275697595,-117.51101742805997,0.0,0.0,0.0,0.0,0.0
mlp,-392653.44631711073,84.06972297884009,32020.636654607042,49.250759964194316,-614848.158861259,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5576288581100399,0.11643289507401658,0.021761788335308712,0.09781625014691062,0.540648098014208,0.0,0.0,0.0,0.0,0.0
