,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.3527224996808818,0.1488330360931472,0.04492559792315752,0.09068350411998151,0.325130209231414,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.43876696637914636,0.1312550571950765,0.038384752390689114,0.07417994701071516,0.42370101589898734,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9862688268645543,0.009526047784720432,0.0008790499750644633,0.0031259562038526484,0.9857622184314911,0.0,0.0,0.0,0.0,0.0
elastic_net,0.22778647984076567,0.1760905244909506,0.051834407765989333,0.1585970917635601,0.21420928783553506,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9263651781341379,0.01858221730137345,0.004665878462473705,0.004248124676390303,0.9244727043871857,0.0,0.0,0.0,0.0,0.0
huber,-0.1780015488786543,0.19141579753881394,0.08029874438393218,0.14165196357425666,-0.20988895576104727,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.08786973142659452,0.1914784314768106,0.06112954234277444,0.1601592842487118,0.06966772030092892,0.0,0.0,0.0,0.0,0.0
lasso,0.22584792161310124,0.17658671130004794,0.05199439727091369,0.15939770762151154,0.21173108430311904,0.0,0.0,0.0,0.0,0.0
lasso_lars,6.661338147750939e-17,0.2192392169746787,0.06738362657840982,0.21322694703767908,-0.017309308800352707,0.0,0.0,0.0,0.0,0.0
linear,0.441406029642072,0.12879451367765324,0.03828238830629032,0.07161646861410936,0.4255280705479313,0.0,0.0,0.0,0.0,0.0
linear_svr,-101.82765935122299,1.1490398519014602,7.682178541273683,0.355428712093634,-112.42464284802404,0.0,0.0,0.0,0.0,0.0
mlp,-238546.15541245235,78.32298803374775,24110.40399322427,39.61091890864451,-360434.65956636856,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9837829141735673,0.009202633642983092,0.0009741047076881864,0.003431037290672785,0.9831743500212516,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2004336725701882,0.173500232072284,0.05469818890072463,0.12832719478229807,0.17188939170340864,0.0,0.0,0.0,0.0,0.0
ransac,-3.9227017677192997,0.2040581360992395,0.34136825048903763,0.05052915231857038,-4.32217077210449,0.0,0.0,0.0,0.0,0.0
ridge,0.43397854545288805,0.13420282337328568,0.038613724549553155,0.07240188157694949,0.41980252775371885,0.0,0.0,0.0,0.0,0.0
svr,0.8929376693192188,0.08145577541600067,0.007373888997071506,0.09092078689701769,0.8867855600728571,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.6294201199848868,0.19328047228309173,0.11496527790140902,0.0952870840665566,-0.7273618172133276,0.0,0.0,0.0,0.0,0.0
