,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-7.253050626320613,0.18887512731276646,0.3716567856197419,0.038906311906071314,-7.631816586274117,0.0,0.0,0.0,0.0,0.0
huber,-0.22511775593711053,0.16018664090009097,0.054037299990772905,0.11295636519372479,-0.2889453486131887,0.0,0.0,0.0,0.0,0.0
theil_sen,-1.569348591109079,0.17593582093072313,0.11530292327660814,0.08930206598295008,-1.6752248762904411,0.0,0.0,0.0,0.0,0.0
linear,0.550907193509658,0.10487647101708557,0.019389474508462654,0.07549236595299329,0.5364787814155025,0.0,0.0,0.0,0.0,0.0
ard,0.43180104601399244,0.11795054349254601,0.024484117646613936,0.08526454278420151,0.4159620833797346,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.3411370435363299,0.1266340622954215,0.028055171834628773,0.09864511995797601,0.32574773493143705,0.0,0.0,0.0,0.0,0.0
elastic_net,0.11758213932491994,0.15797833314886373,0.03747263927062081,0.13147428538944075,0.09698226025301016,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5505792031152875,0.10483844579497603,0.01939953342278482,0.07576074807192805,0.5365112654638027,0.0,0.0,0.0,0.0,0.0
lasso_lars,5.551115123125783e-17,0.16945768026146885,0.04265957078118125,0.14905704240938178,-0.02415980627659293,0.0,0.0,0.0,0.0,0.0
lasso,0.09950645520967684,0.15948140007062137,0.038300078712994935,0.13281937281843725,0.0778278751585821,0.0,0.0,0.0,0.0,0.0
ridge,0.5494628687808876,0.10484557489211058,0.019440197080060232,0.0763436327636679,0.5359683750345057,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9233522664720883,0.018698833134142216,0.0034771190415561525,0.0044843642485384635,0.9213231958376706,0.0,0.0,0.0,0.0,0.0
decision_tree,0.977256717981842,0.010904643250092768,0.0009283999855701803,0.002842505283225319,0.9766853058802614,0.0,0.0,0.0,0.0,0.0
svr,0.8247371533339718,0.07642672670621084,0.007453951348093668,0.08723333102645377,0.8183986558817615,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9618834327855726,0.012118716402887602,0.0016773487254975665,0.003432092820761637,0.9605736898369862,0.0,0.0,0.0,0.0,0.0
linear_svr,-216.5540424971221,1.6405847205817896,14.794462983727144,0.8936043252310768,-400.40310272940815,0.0,0.0,0.0,0.0,0.0
mlp,-458591.1520092965,85.27888157556484,29387.55373085192,44.07023725474419,-732692.7497779614,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.10339279007776794,0.1516540163901801,0.03965183873903368,0.1303395557025754,0.05259892200026828,0.0,0.0,0.0,0.0,0.0
