,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.3676071207009201,0.14413345616293582,0.042334891812120724,0.0802528875951084,0.34381788765335325,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.47833146662853787,0.12308287436204535,0.03456748582743609,0.06649923187277454,0.46655481157060075,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9957436381912474,0.007445531484228879,0.00027569951937955436,0.0027314783332682765,0.9956148041009298,0.0,0.0,0.0,0.0,0.0
elastic_net,0.2730087032601376,0.16985373525285627,0.047517052040899746,0.15363367580859982,0.26113595561503367,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9652823299265361,0.013139702606985663,0.0020070099444578745,0.003668590399049037,0.9638822997209502,0.0,0.0,0.0,0.0,0.0
huber,-0.1021446052213931,0.18186426634314984,0.07430039742870934,0.12128442532134795,-0.12982004884414672,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.08970217960464402,0.187779621128221,0.05943318983199129,0.1566456870082249,0.07344303857576609,0.0,0.0,0.0,0.0,0.0
lasso,0.27016260869024267,0.16954592693745224,0.04772435368323027,0.15391056486580507,0.25780456023923315,0.0,0.0,0.0,0.0,0.0
lasso_lars,-4.4408920985006264e-17,0.21675744493553234,0.06564522185776091,0.21189113936563325,-0.014867638196032828,0.0,0.0,0.0,0.0,0.0
linear,0.4805218350787623,0.12082224587688946,0.0344744287530908,0.06620643649874682,0.46816429696796663,0.0,0.0,0.0,0.0,0.0
linear_svr,-60.73145485843719,0.8153989143708863,4.350333874758193,0.21014390084388762,-66.21914637643533,0.0,0.0,0.0,0.0,0.0
mlp,-72128.10168942768,48.88114304159905,8935.228455019578,31.522118123135073,-131181.43876611086,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9970369463546609,0.006204355158879107,0.0002002628863043749,0.002875458704893924,0.9969389691858892,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.23022370359894523,0.16816690801261078,0.051165904116844366,0.11951583013674487,0.20498636248833213,0.0,0.0,0.0,0.0,0.0
ransac,-2.5441086057346123,0.20672196173662577,0.2422845391168607,0.04214061626168238,-2.802860806097679,0.0,0.0,0.0,0.0,0.0
ridge,0.474176956062189,0.12602238829264686,0.03477050894530729,0.06650492378224425,0.46308056551354354,0.0,0.0,0.0,0.0,0.0
svr,0.8934321835764505,0.08083730627365222,0.007242512603940652,0.09262208778022055,0.8867028759251541,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.6169562866369287,0.18314452752759244,0.1140900050652968,0.07742843969400774,-0.758696377890377,0.0,0.0,0.0,0.0,0.0
