,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-3.2108505609941154,0.16794349890743993,0.19741295257201147,0.048014564633235376,-3.3995051106079592,0.0,0.0,0.0,0.0,0.0
huber,-0.4224107795773661,0.16544613932802438,0.06445891848398487,0.12131032599938711,-0.46141709937120734,0.0,0.0,0.0,0.0,0.0
theil_sen,0.1219553934110467,0.13172739970241856,0.040366983175222006,0.0771304509627945,0.08049593980396844,0.0,0.0,0.0,0.0,0.0
linear,0.5801671066575377,0.09405412691544686,0.01829246680342012,0.05331657365813922,0.5762119821725475,0.0,0.0,0.0,0.0,0.0
ard,0.46439348080417486,0.11063836618882814,0.023357538993107795,0.07740514489066462,0.4613288431240557,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.3032822757936504,0.13630257590829117,0.030354357556888496,0.10740147492366237,0.2930965621603071,0.0,0.0,0.0,0.0,0.0
elastic_net,0.060431177378766174,0.1679510887339311,0.041428653104817734,0.16424030939889028,0.031976140401342126,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5801553795159207,0.09410133076482503,0.018301479577973782,0.05272039117723613,0.5762697452760601,0.0,0.0,0.0,0.0,0.0
lasso_lars,-1.1102230246251566e-17,0.1731573449589801,0.0442565790414293,0.16117712207395823,-0.03318995142542789,0.0,0.0,0.0,0.0,0.0
lasso,0.044188226575678655,0.1681610864436607,0.04225725834787171,0.16668519723474792,0.012819892529477872,0.0,0.0,0.0,0.0,0.0
ridge,0.57832938242669,0.09478241284407594,0.018405017627721374,0.054943751658029186,0.5745332844811042,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9295408747798589,0.020280834294036956,0.0030520701344529276,0.00443703935181951,0.9281571643849974,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9803491541600959,0.013472991112828297,0.0008706066022982385,0.0039015574441069235,0.9799581379426849,0.0,0.0,0.0,0.0,0.0
svr,0.8574343683994632,0.07140492200714575,0.006406709387711891,0.07981979188607727,0.8502648845936488,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9780659182259738,0.012912478393084273,0.0010270518105980574,0.004285957611953453,0.9772750550513155,0.0,0.0,0.0,0.0,0.0
linear_svr,-63.150627718704854,1.1515992941570932,4.560151726747971,0.5748737056429208,-107.31405832565034,0.0,0.0,0.0,0.0,0.0
mlp,-378674.3686928493,55.562946287209286,21780.255298656666,24.23859997290273,-519262.57441406,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.16693041274412038,0.14553413067473253,0.03780298942726236,0.11950069466914681,0.13722978856788898,0.0,0.0,0.0,0.0,0.0
