,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ransac,-1.666605204094202,0.17816314602196456,0.1565475281114184,0.041236537925343965,-1.749629244715451,0.0,0.0,0.0,0.0,0.0
huber,-0.12749690270497446,0.19490793482441388,0.07657840516939665,0.15735909731866385,-0.2109664950566703,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.48919619192374214,0.16888441981382718,0.09462442651953679,0.0641961854886091,-0.5619862115317382,0.0,0.0,0.0,0.0,0.0
linear,0.473556971267522,0.12286465412426617,0.033986150478899316,0.0664675303980196,0.4553541510163561,0.0,0.0,0.0,0.0,0.0
ard,0.44349726160935327,0.1319318354007139,0.03596994478817577,0.07782415236515199,0.42752874500639104,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.25325479114487986,0.16566517943165956,0.049585257011738666,0.10936375083128251,0.21128423669292423,0.0,0.0,0.0,0.0,0.0
elastic_net,0.22613657976962873,0.1781761290155066,0.05115490607563241,0.1700260345031985,0.17877560983957128,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.4729279123294085,0.12432124906032829,0.034042500893503067,0.06445974384982175,0.4546921085829479,0.0,0.0,0.0,0.0,0.0
lasso_lars,0.0,0.21891008824371783,0.06587134683382952,0.21695475379205692,-0.06416098207960938,0.0,0.0,0.0,0.0,0.0
lasso,0.2277775314587845,0.17791280369719453,0.051077953590447735,0.1697371437371006,0.18031036704383893,0.0,0.0,0.0,0.0,0.0
ridge,0.46881286606721534,0.12810749987235154,0.03433353466130604,0.06546991059950186,0.45020347345131134,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9521387990125044,0.016829867414924093,0.003292014757201854,0.0039796382143237165,0.9513493635686793,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9775729616643094,0.01133255539726005,0.0013053104076403022,0.0027346429684537467,0.977216815782316,0.0,0.0,0.0,0.0,0.0
svr,0.882196100204584,0.08332089713741084,0.007821663534956967,0.09272735810101593,0.8721263645782986,0.0,0.0,0.0,0.0,0.0
nu_svr,0.990010271346949,0.007484303763348281,0.0006066670191574622,0.0027588498866546593,0.9896727349618093,0.0,0.0,0.0,0.0,0.0
linear_svr,-79.55411344431823,1.254037379603861,6.214973041030091,0.4989130313312177,-100.74251499684343,0.0,0.0,0.0,0.0,0.0
mlp,-416781.07859153877,93.30111796126499,37623.48476579322,58.287650400540656,-604226.7059691845,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.0010976585707178966,0.20134535008156748,0.06541017980970702,0.1717846627481978,-0.06168644209403127,0.0,0.0,0.0,0.0,0.0
