,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.09295329646187342,0.13844203974319133,0.03612567782028693,0.10502634539480256,0.08697194590123869,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.336465416565202,0.11975591039995932,0.026179570702455763,0.08371332839132344,0.33038444346611795,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9727030683375892,0.007807263289658176,0.0009787135973331243,0.0024048409715900056,0.9721108377091274,0.0,0.0,0.0,0.0,0.0
elastic_net,0.16148827943214858,0.1456655979524273,0.0332968114965468,0.11741473883837225,0.1504003783545166,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9048863559172362,0.01604834507371163,0.0038816334504013722,0.0034860648207193034,0.9006434040009156,0.0,0.0,0.0,0.0,0.0
huber,-0.2883505243409626,0.15957588626128133,0.05228831245411799,0.12423737334470894,-0.31852633432155486,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.23672858946049366,0.16997488521319484,0.049293045938398686,0.1483374651390362,-0.259388388303827,0.0,0.0,0.0,0.0,0.0
lasso,0.16183397928529386,0.14537815824761374,0.03329755382638162,0.11729740786427541,0.15070079666883238,0.0,0.0,0.0,0.0,0.0
lasso_lars,-2.2204460492503132e-17,0.1516290070191398,0.04017763753868679,0.13243703632745665,-0.013087595133420993,0.0,0.0,0.0,0.0,0.0
linear,0.33865354681316534,0.11877155551199865,0.026087824291148504,0.08114445851306465,0.33230653024494305,0.0,0.0,0.0,0.0,0.0
linear_svr,-72.87382091600884,0.8107058213253119,3.426502774950219,0.33715677719039466,-85.43111051681072,0.0,0.0,0.0,0.0,0.0
mlp,-753340.4979557084,109.53946186609544,46394.92443696474,57.06397822391725,-1197165.1465988213,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9802828226498969,0.006222377383784959,0.0006584540598723809,0.0023672595136477958,0.9795698424634336,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.09057146414046877,0.15178684516536384,0.0364777453019835,0.1312696936514483,0.07558774671596231,0.0,0.0,0.0,0.0,0.0
ransac,-13.081332608105637,0.2282014315057092,0.5505112710726221,0.03454632656480762,-14.20937062093088,0.0,0.0,0.0,0.0,0.0
ridge,0.3344084403169582,0.12023181789670279,0.02626463658188525,0.08494088558576712,0.32835628651947124,0.0,0.0,0.0,0.0,0.0
svr,0.8333991060547085,0.07584413238806134,0.006660110399989783,0.08719276621183611,0.8257644086188902,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.5272688184952194,0.19608122226835828,0.17931618456696957,0.06388018549196581,-3.6861047432376237,0.0,0.0,0.0,0.0,0.0
