,0,1,2,accuracy
arb_dtree_md_f1_scores,True,True,False,0.6666666666666666
arb_dtree_mdi_f1_scores,True,False,False,0.3333333333333333
arb_dtree_mdic_f1_scores,True,True,False,0.6666666666666666
arb_gnb_md_f1_scores,True,False,False,0.3333333333333333
arb_gnb_mdi_f1_scores,True,True,False,0.6666666666666666
arb_gnb_mdic_f1_scores,True,False,False,0.3333333333333333
arb_knn_md_f1_scores,True,False,False,0.3333333333333333
arb_knn_mdi_f1_scores,False,False,True,0.3333333333333333
arb_knn_mdic_f1_scores,False,False,True,0.3333333333333333
arb_mlp_md_f1_scores,True,False,False,0.3333333333333333
arb_mlp_mdi_f1_scores,True,False,True,0.6666666666666666
arb_mlp_mdic_f1_scores,True,True,False,0.6666666666666666
arb_svc_md_f1_scores,True,False,False,0.3333333333333333
arb_svc_mdi_f1_scores,True,False,False,0.3333333333333333
arb_svc_mdic_f1_scores,True,False,False,0.3333333333333333
borda_f1_scores,True,True,False,0.6666666666666666
cmb_dtree_f1_scores,True,False,False,0.3333333333333333
cmb_gnb_f1_scores,True,False,False,0.3333333333333333
cmb_knn_f1_scores,True,True,True,1.0
cmb_mlp_f1_scores,True,False,False,0.3333333333333333
cmb_svc_f1_scores,True,False,False,0.3333333333333333
copeland_f1_scores,True,False,False,0.3333333333333333
dowdall_f1_scores,True,True,False,0.6666666666666666
dtree_f1_scores,True,True,False,0.6666666666666666
gnb_f1_scores,True,True,True,1.0
knn_f1_scores,True,True,False,0.6666666666666666
mean_f1_scores,True,False,False,0.3333333333333333
median_f1_scores,True,False,False,0.3333333333333333
mlp_f1_scores,True,True,False,0.6666666666666666
plurality_f1_scores,True,False,False,0.3333333333333333
simpson_f1_scores,True,True,False,0.6666666666666666
svc_f1_scores,True,True,False,0.6666666666666666
