instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.3404166666666665
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.2721666666666667
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.26096666666666657
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.26073333333333343
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.2627166666666665
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.2546999999999999
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.2522166666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.24618333333333325
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.24541666666666656
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.24978333333333325
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.2481999999999999
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.0,0.8959787067227386
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.1,0.8996196483520323
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.2,0.9037960750078592
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.3,0.9083092594183456
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.4,0.9126818341445704
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.5,0.9172657404807032
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.6,0.9184915909973244
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.7,0.920978150249379
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.8,0.9198248659058844
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.9,0.9203759118922776
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,1.0,0.9210128573302172
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.0,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.1,1.0
