instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.4345999999999999
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.3339666666666665
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.3059333333333332
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.28601666666666664
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.28601666666666664
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.2752000000000001
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.2707833333333332
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.2663
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.26751666666666674
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.26428333333333337
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.2647166666666665
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.0,0.9199691353926532
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.1,0.921030428979652
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.2,0.9216729027028996
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.3,0.9297533907890262
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.4,0.930663548326248
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.5,0.9358527468849954
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.6,0.9379854697066632
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.7,0.9372403412448108
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.8,0.9331722838503684
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.9,0.933116472801591
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,1.0,0.9326530714225336
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.0,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.1,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.2,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.3,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.4,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.5,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.6,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.7,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.8,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.9,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,1.0,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.0,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.1,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.2,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.3,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.4,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.5,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.6,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.7,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.8,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.9,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,1.0,0.22307692307692265
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.0,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.1,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.2,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.3,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.4,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.5,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.6,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.7,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.8,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.9,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,1.0,1.0
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.0,0.9229159553725484
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.1,0.9307603990821814
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.2,0.9355141319055242
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.3,0.9383888817114789
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.4,0.9301995118510094
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.5,0.9410546136093842
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.6,0.9429947627659806
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.7,0.9392903617133662
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.8,0.9425497251385552
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.9,0.9388140973712136
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,1.0,0.9354096989131035
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.0,0.9088429595295634
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.1,0.9111217952121136
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.2,0.9087602981890016
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.3,0.9096084683491916
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.4,0.9106224022865644
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.5,0.911729316474456
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.6,0.9114762512907622
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.7,0.9085035371354973
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.8,0.9105478129557688
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,0.9,0.9085293133465748
1140,68,6,0.0008434703779430001,0.26081564670400004,0,1021,4,0,0,1.0,0.9086943709315798
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.0,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.1,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.2,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.3,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.4,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.5,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.6,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.7,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.8,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,0.9,1.0
6576,46,2,0.982736782421,1.0,0,3288,3288,0,0,1.0,1.0
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.0,0.5000353303566986
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.1,0.5001414671776242
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.2,0.5001409641595156
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.3,0.5001766784452297
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.4,0.5001766784452297
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.5,0.5001771814633384
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.6,0.5001414671776242
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.7,0.5001062559100186
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.8,0.5001766784452297
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,0.9,0.5001766784452297
2827,95,4,0.981372118774,0.999999864579,0,707,706,0,0,1.0,0.50010575289191
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.0,0.9183287024292
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.1,0.9266048723407582
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.2,0.9236693518715714
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.3,0.9288308561944418
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.4,0.935699672870304
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.5,0.9387385867508836
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.6,0.9428083736622864
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.7,0.9437219487143998
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.8,0.9416726668604828
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,0.9,0.9405729655013582
8725,53,8,-0.016616928241299997,0.24432567733399999,0,7767,26,0,0,1.0,0.9416371974499022
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.0,0.9066984824873224
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.1,0.914520881456187
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.2,0.9227750281654274
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.3,0.9276503484249338
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.4,0.9298763315618862
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.5,0.9320293973964712
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.6,0.9358257917949726
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.7,0.9376218780213346
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.8,0.9371427604759044
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,0.9,0.9376784216882124
5394,89,5,-0.011046504537200002,0.28951054202300003,0,4821,53,0,0,1.0,0.9404779372779172
