instances,features,targets,silhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.3335
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.2831666666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.2778166666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.26438333333333336
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.26675
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.2611499999999999
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.26396666666666657
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.7,0.2555166666666666
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.8,0.2502833333333333
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.9,0.25509999999999994
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,1.0,0.25146666666666656
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.0,0.8962084471016826
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.1,0.9002934729882458
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.2,0.9044892438263596
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.3,0.908964693436158
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.4,0.9132509465252172
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.5,0.9168908361059231
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.6,0.9192372527231156
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.7,0.9210138918949152
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.8,0.9204100729180928
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,0.9,0.9203577410564691
5627,61,6,0.009889087469780001,0.268231580678,0,5024,25,0,0,1.0,0.9212614916653571
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.0,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.1,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.2,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.3,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.4,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.5,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.6,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.7,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.8,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,0.9,1.0
8848,86,2,0.983489760153,1.0,0,4424,4424,0,0,1.0,1.0
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.0,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.1,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.2,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.3,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.4,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.5,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.6,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.7,0.2229975579975575
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.8,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,0.9,0.22307692307692265
1318,95,9,0.9816116247390001,0.9999973806970001,0,147,146,0,0,1.0,0.22307692307692265
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.0,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.1,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.2,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.3,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.4,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.5,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.6,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.7,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.8,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,0.9,1.0
5946,47,2,0.9840779860700001,1.0,0,2973,2973,0,0,1.0,1.0
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.0,0.8949988845492328
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.1,0.901246245419648
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.2,0.903923103263328
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.3,0.905978167067293
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.4,0.904224622346656
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.5,0.9121531392391844
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.6,0.9175183154283008
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.7,0.918545933550966
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.8,0.9240767292566784
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,0.9,0.92450253557073
9636,40,6,0.03909579134919999,0.266815186817,0,8610,51,0,0,1.0,0.9232883139263376
