,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.786595461806321,0.08133297886213972,0.011128867801960419,0.07051781167849001,0.7671519198144653,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9921838014173308,0.013365695219973342,0.0003937819470528933,0.008657223708365254,0.9918200920911463,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9988588833857968,0.0022582958595015958,6.97514016952861e-05,0.0004505744184596525,0.9987804825279545,0.0,0.0,0.0,0.0,0.0
elastic_net,0.6639136533380003,0.11976761897134913,0.020871161593946166,0.0989694533998596,0.6277564986942658,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9988895112720895,0.0023905740310022983,5.525401860790174e-05,0.0002999571961934719,0.9987445783474135,0.0,0.0,0.0,0.0,0.0
huber,0.450307533784855,0.15376342236243673,0.052370623673565694,0.11060507743476924,0.3220553278995092,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5576270336689043,0.1444522803728853,0.03123575844288079,0.14136650508561793,0.45725208980650134,0.0,0.0,0.0,0.0,0.0
lasso,0.6285132251366703,0.1228991668975025,0.02205283180322491,0.09488294088191185,0.5950059242470593,0.0,0.0,0.0,0.0,0.0
lasso_lars,-1.1102230246251566e-17,0.24377259614525268,0.08051770967532793,0.19748366855469074,-0.19440849356117398,0.0,0.0,0.0,0.0,0.0
linear,0.992380395572859,0.01315307215577205,0.00038984011038349436,0.007975489536770193,0.9919771855786899,0.0,0.0,0.0,0.0,0.0
linear_svr,-1.322172005460069,0.364048700997692,0.2527376156340843,0.3393496215391183,-4.647248367900229,0.0,0.0,0.0,0.0,0.0
mlp,-196812.04778571767,116.1291944900634,30130.578030506593,90.72224975518893,-467133.0566673507,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9991052905216282,0.0026260103346691234,4.434557276180303e-05,0.001359846560279329,0.9990333504853632,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.3134795288901552,0.16615586089126563,0.03858169194168995,0.1397308119690958,0.25140868400251104,0.0,0.0,0.0,0.0,0.0
ransac,0.8047158214769624,0.029941204400638043,0.01364489318003639,0.008402135941195717,0.7792878607195913,0.0,0.0,0.0,0.0,0.0
ridge,0.9720906070203675,0.02727636026506978,0.0012951676542624284,0.02000930417187189,0.9703794390699023,0.0,0.0,0.0,0.0,0.0
svr,0.8965343880534634,0.09512272880914716,0.009138518080401932,0.09725264382709578,0.8197747860158889,0.0,0.0,0.0,0.0,0.0
theil_sen,0.461932892982342,0.11453566050380874,0.033869527996652646,0.059448128204535246,0.406286186249141,0.0,0.0,0.0,0.0,0.0
