,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.7754898557906402,0.08207854341475265,0.011327931017392686,0.07263502108165965,0.7604922847577874,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9894782871612513,0.014558250134508826,0.0005188647583396481,0.009001933189121156,0.9887646593836108,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9929159202625584,0.0057013210418442595,0.000562822666421221,0.000785936740937647,0.992239154690082,0.0,0.0,0.0,0.0,0.0
elastic_net,0.6779875633050666,0.11903581945156752,0.020355480032203034,0.09887210197993383,0.6418663028940337,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9982054042820971,0.0034265003745415678,5.84844203664358e-05,0.0009590937927105344,0.9980648017639211,0.0,0.0,0.0,0.0,0.0
huber,0.45130582245933876,0.15499686802216806,0.05504977732099674,0.10897162029302239,0.31416178695867625,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5587208677922266,0.1453768718789837,0.0312748143097684,0.14284121618945367,0.4588534311616905,0.0,0.0,0.0,0.0,0.0
lasso,0.6425856079541872,0.12216851669951692,0.02156415919310737,0.09581248733271859,0.6086882333523324,0.0,0.0,0.0,0.0,0.0
lasso_lars,1.1102230246251566e-17,0.24620812545301368,0.08153716109760799,0.19464027964988406,-0.20296165788059536,0.0,0.0,0.0,0.0,0.0
linear,0.9897707421244275,0.013946146899763048,0.0005126708195486508,0.007796411799189472,0.9889972826705069,0.0,0.0,0.0,0.0,0.0
linear_svr,-0.3009659217320354,0.2913667458222334,0.1891182896025663,0.20941854097929435,-1.7786042025439688,0.0,0.0,0.0,0.0,0.0
mlp,-475465.6404956694,160.4834244116835,63784.31843796949,112.28897304790974,-1400612.1798800458,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9971512346038753,0.0036874113429442904,0.00012842712121093953,0.0018178595661880348,0.9969259109280818,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.3331477681770972,0.16587689247106097,0.038276185789347286,0.13571169423903046,0.2695719643209864,0.0,0.0,0.0,0.0,0.0
ransac,0.0433550235381812,0.08725509627421807,0.10858641880152806,0.0069413205604539775,-0.13840588043468163,0.0,0.0,0.0,0.0,0.0
ridge,0.9693624352189539,0.027583351846349337,0.0014130436989302545,0.02037583266169166,0.9675250971801154,0.0,0.0,0.0,0.0,0.0
svr,0.8987100229650873,0.09531436391245474,0.00915559818545634,0.09730233341801468,0.8191503794889636,0.0,0.0,0.0,0.0,0.0
theil_sen,0.47447995407020144,0.11176134065332832,0.03346797244036695,0.058172499082750795,0.4135098650316816,0.0,0.0,0.0,0.0,0.0
