,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.7880217702606962,0.0796013979040869,0.011207048126479241,0.06878101786925869,0.7683570517267112,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9944332529852924,0.01185198489208788,0.0002968396611770103,0.006904139166633551,0.9942188615232415,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9992477564746387,0.0019927005540586458,4.675781208050514e-05,0.0005417461455381939,0.9992038351475587,0.0,0.0,0.0,0.0,0.0
elastic_net,0.6564616736475307,0.12239722740506898,0.02177634236460894,0.10206025509135133,0.6202802425754622,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9992081732467133,0.0021928403970293696,4.153354112282669e-05,0.0003554128344490509,0.9990955612084512,0.0,0.0,0.0,0.0,0.0
huber,0.44484473060858765,0.15372019072374704,0.05706089436058095,0.1015983719616004,0.2982978646317182,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5729650891124802,0.143278133103804,0.031008355873578985,0.13866428451090695,0.4746065112888159,0.0,0.0,0.0,0.0,0.0
lasso,0.6145458075703052,0.1260561577437797,0.023254230822829982,0.09701975242249349,0.5817372572993533,0.0,0.0,0.0,0.0,0.0
lasso_lars,3.3306690738754695e-17,0.246755705809327,0.0825514793743464,0.19959255838350246,-0.19672704449356565,0.0,0.0,0.0,0.0,0.0
linear,0.9945631711339535,0.01166429320219319,0.0002943263418597404,0.006429161411203035,0.9943265963175124,0.0,0.0,0.0,0.0,0.0
linear_svr,-1.3909684767780006,0.3618925272412918,0.23133143030850167,0.32186035969918264,-4.560277626851812,0.0,0.0,0.0,0.0,0.0
mlp,-363610.5683556623,153.55794679056916,47341.297285780674,133.2711261158995,-1131420.244160814,0.0,0.0,0.0,0.0,0.0
nu_svr,0.999577326759581,0.002408569436366563,2.4842917928349217e-05,0.0013325423188313631,0.9995458423775261,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.26962208253508024,0.17166785512632415,0.04344511523265973,0.13818006680887301,0.20694622654133904,0.0,0.0,0.0,0.0,0.0
ransac,0.8519693006626146,0.038568177477726645,0.015139608253873166,0.00804744570759515,0.8208362078515327,0.0,0.0,0.0,0.0,0.0
ridge,0.9748867234212371,0.025973483765133653,0.0012016971804699802,0.01836279654851469,0.9731874879443032,0.0,0.0,0.0,0.0,0.0
svr,0.8981333250563374,0.09573589572739817,0.009211733016187822,0.09727197624632561,0.82407284898471,0.0,0.0,0.0,0.0,0.0
theil_sen,0.47291342602161557,0.11427307518257859,0.03409258272848893,0.061625035700741515,0.4131139599391422,0.0,0.0,0.0,0.0,0.0
