,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.795457339836241,0.07677970934241705,0.010673299648717108,0.06476480983730172,0.7761861411540412,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.993766675560488,0.012314766815034729,0.0003239059323740553,0.007867642482711107,0.9935192064833391,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9992283932382401,0.0020169192901494408,4.771524631069469e-05,0.0004903482471813533,0.9991832067744812,0.0,0.0,0.0,0.0,0.0
elastic_net,0.6607709645204719,0.12090436001443976,0.021223261228739125,0.10026622319662622,0.6248913236952541,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9977935658315502,0.0030036587284392336,0.00012600035242974918,0.00029813698447818117,0.9974822877442306,0.0,0.0,0.0,0.0,0.0
huber,0.46640146286137385,0.15028626385255697,0.05223533659126959,0.10677116267753935,0.33241894718720644,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5657249685537191,0.1437317560848696,0.031082381785430435,0.13957062574264714,0.46637981817614993,0.0,0.0,0.0,0.0,0.0
lasso,0.6226756925305464,0.1242460259035627,0.022524954288736947,0.09580770115557652,0.5897866833668675,0.0,0.0,0.0,0.0,0.0
lasso_lars,0.0,0.24503861686600348,0.08135252283239294,0.19842619273386558,-0.19525113974694425,0.0,0.0,0.0,0.0,0.0
linear,0.9939142395667894,0.012131623282550116,0.00032104725958030666,0.007301814177829569,0.9936381626912285,0.0,0.0,0.0,0.0,0.0
linear_svr,-0.5251592583485833,0.21630116336699565,0.10219644681729803,0.12757467252140642,-0.906665932895961,0.0,0.0,0.0,0.0,0.0
mlp,-482220.77399584895,142.0240192683695,49976.38204245415,110.49664239681174,-1120846.9564865183,0.0,0.0,0.0,0.0,0.0
nu_svr,0.999567248441989,0.0023365584949715875,2.474483466460528e-05,0.001387552105992837,0.9995303086192437,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2714537377979054,0.1703648528473271,0.04301803352267378,0.1365570786374022,0.20844800891432486,0.0,0.0,0.0,0.0,0.0
ransac,0.9237621213402832,0.02969245088861846,0.008329548941063655,0.006532813146522489,0.9064943151741105,0.0,0.0,0.0,0.0,0.0
ridge,0.9740501962349397,0.026413956290976613,0.0012240100753595712,0.019172536185540833,0.9723741353348538,0.0,0.0,0.0,0.0,0.0
svr,0.8975450444466102,0.09538998762816775,0.009158739471060728,0.0971099143852214,0.8217010486826883,0.0,0.0,0.0,0.0,0.0
theil_sen,0.47613478204724535,0.11587407736738875,0.03373273043709844,0.06102026903556799,0.4059171862883522,0.0,0.0,0.0,0.0,0.0
