,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.7728462731148813,0.07962070879791852,0.01111244413168027,0.06911102105633762,0.7560353802099691,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9897072152380249,0.014150088375396169,0.00048646931479499455,0.008904255100312801,0.989130849887939,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9939298706610652,0.004435509935490785,0.0004606575249044336,0.0004999188064253396,0.9934065637273826,0.0,0.0,0.0,0.0,0.0
elastic_net,0.668185938093923,0.11845257783281615,0.020457272959124556,0.09753809590742259,0.6312688790923651,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9991423526853895,0.002110339705075081,3.805267846754969e-05,0.00033517313106519594,0.9989993075096116,0.0,0.0,0.0,0.0,0.0
huber,0.4142219749009861,0.15531229558487025,0.0542767541393666,0.10390001769966557,0.27827998358544087,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.547189265659591,0.14493880956939775,0.03133893608311469,0.14245207131029564,0.4453433214787658,0.0,0.0,0.0,0.0,0.0
lasso,0.6358530444740459,0.12134600686777126,0.02150820702606096,0.09392756291333051,0.6011551503735051,0.0,0.0,0.0,0.0,0.0
lasso_lars,-6.661338147750939e-17,0.2422103400484421,0.07954609931779608,0.1965237292849534,-0.1942441561765768,0.0,0.0,0.0,0.0,0.0
linear,0.9899724827163767,0.01385309438263908,0.0004809916785578288,0.008126387769059003,0.9893447923877648,0.0,0.0,0.0,0.0,0.0
linear_svr,-1.5941046054529011,0.3796231464366607,0.2803704267536213,0.36056337047555576,-5.06401740549425,0.0,0.0,0.0,0.0,0.0
mlp,-841744.6600216063,183.2060141625139,86582.46722950051,94.96212435070484,-1423572.0201337547,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9979088928577282,0.0029223023482955832,8.991202219618265e-05,0.0013257174017004298,0.9977310301276697,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.31269220168633033,0.16510374595774993,0.038275914131466235,0.13905813990706198,0.24980883750089156,0.0,0.0,0.0,0.0,0.0
ransac,-0.8729760278480085,0.10720039306917055,0.1411479374783638,0.006193382718001088,-1.159925420994258,0.0,0.0,0.0,0.0,0.0
ridge,0.9692552610159672,0.027856706924964586,0.0013826896080777504,0.020470078925643835,0.9674185506403143,0.0,0.0,0.0,0.0,0.0
svr,0.8956750856047124,0.09522061317303086,0.009150353207671632,0.09737780972881949,0.8159153830789526,0.0,0.0,0.0,0.0,0.0
theil_sen,0.44632734204463553,0.11151086568333765,0.03377146550191447,0.05293696576796257,0.3824072142099488,0.0,0.0,0.0,0.0,0.0
