,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.7813055190281821,0.08386852544096976,0.011623958884505249,0.07064723821808731,0.7624179572459538,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9945717576185119,0.013067079661994399,0.0003160403489064564,0.008049265501398974,0.994334812275665,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9991916055825651,0.003599229070662513,3.7170753673857235e-05,0.0018767581321035413,0.9991597516611896,0.0,0.0,0.0,0.0,0.0
elastic_net,0.6728255398059559,0.12077839889201203,0.020427338698314965,0.10396700843006931,0.6407639231780043,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9938846279216552,0.005666346910070825,0.0003317373799534212,0.0013855243164699715,0.9936248667490426,0.0,0.0,0.0,0.0,0.0
huber,0.5082068947575181,0.1402473403215802,0.04802559700319659,0.09931927975536976,0.389701968852319,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.6206057607605965,0.1340700289240711,0.027593206257780493,0.12995581436656697,0.5324175633818137,0.0,0.0,0.0,0.0,0.0
lasso,0.6391539552790401,0.12342494063456326,0.021589298191134886,0.099093894467742,0.6098107168554294,0.0,0.0,0.0,0.0,0.0
lasso_lars,5.551115123125783e-17,0.24240968469088017,0.08138757649981468,0.21098247700831124,-0.18343037979010038,0.0,0.0,0.0,0.0,0.0
linear,0.9947027917325972,0.01284418445298922,0.0003128973394143691,0.00800584070204589,0.9944526816669219,0.0,0.0,0.0,0.0,0.0
linear_svr,0.0460739672059049,0.2027990928541774,0.083149176474478,0.1543760415756381,-1.157749748574044,0.0,0.0,0.0,0.0,0.0
mlp,-242127.7743905297,128.5211762776521,39231.23652041168,90.09639332773557,-515143.8648106867,0.0,0.0,0.0,0.0,0.0
nu_svr,0.999339113146608,0.004456746751775858,3.864667311342618e-05,0.003005357076920441,0.9993061072581837,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.283833998759047,0.16547541624761442,0.04190316094838765,0.14097484014941544,0.2277181781473065,0.0,0.0,0.0,0.0,0.0
ransac,0.9326195134430684,0.0297139402694968,0.006825837789195715,0.008408569827068656,0.9150997878483114,0.0,0.0,0.0,0.0,0.0
ridge,0.9755616663068286,0.024471151921800556,0.0011766677830615164,0.016133440612199918,0.9738404746139802,0.0,0.0,0.0,0.0,0.0
svr,0.9021330594131902,0.09237926766097923,0.008657011839525802,0.09563293730526345,0.8351659842770894,0.0,0.0,0.0,0.0,0.0
theil_sen,0.45907526928944026,0.11807255126507832,0.033483472697317135,0.07164139641687854,0.38813642019523054,0.0,0.0,0.0,0.0,0.0
