,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.8915277080176007,0.01879114539638404,0.0006369431482064062,0.013922755465877984,0.8860717338643267,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9622259884621686,0.011817627427255482,0.0002454428829830434,0.008540482348463862,0.9579887780239542,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9931013106639861,0.003548624712356966,5.4116418245761987e-05,0.0012341043015548004,0.9914567829745502,0.0,0.0,0.0,0.0,0.0
elastic_net,0.4985920776748035,0.04712311270125739,0.0033476312453749476,0.041611535454906715,0.4659563278777207,0.0,0.0,0.0,0.0,0.0
gaussian_process,-1.7666959935220852,0.02873091980559777,0.028354747622335686,0.0015833826192500678,-2.3047119666828597,0.0,0.0,0.0,0.0,0.0
huber,-4.712376370491856,0.14140203490268766,0.04294049957197439,0.10678780491144216,-6.049713063355564,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-1.4646544103625656,0.10994552783035243,0.017670841377816993,0.10757948276021652,-1.9957111260374216,0.0,0.0,0.0,0.0,0.0
lasso,0.49679178325275997,0.046530065406985475,0.003384026440310807,0.04117092225492686,0.46589543446311454,0.0,0.0,0.0,0.0,0.0
lasso_lars,-4.4408920985006264e-17,0.06241747237563709,0.007715687401035313,0.061165633285251556,-0.07200254978499307,0.0,0.0,0.0,0.0,0.0
linear,0.9785882077824738,0.009534929235466224,0.00017729798518546487,0.00709308455895512,0.9764875121039227,0.0,0.0,0.0,0.0,0.0
linear_svr,-8.934100410942108,0.23434221129255445,0.11477819674234704,0.1894893580358605,-22.69942521094685,0.0,0.0,0.0,0.0,0.0
mlp,-5697352.716752445,186.323210215805,68848.75839102571,138.95209208394817,-11184763.241776543,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9931454069494657,0.004682989721278293,6.0752499010947286e-05,0.002680939580888031,0.991764458360857,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.8719667689920391,0.02102395786578281,0.0007774298042950798,0.013975807795105533,0.8665822022347083,0.0,0.0,0.0,0.0,0.0
ransac,0.973054121354361,0.010031254223648556,0.00022421830780625196,0.007280714302636465,0.9706360832570076,0.0,0.0,0.0,0.0,0.0
ridge,0.9585119374519758,0.01219479564217309,0.0002645642138580463,0.009121273454658185,0.9540572890205834,0.0,0.0,0.0,0.0,0.0
svr,0.6623580958901865,0.06427754545415519,0.005073082277994785,0.06295837887269429,0.08158315920721078,0.0,0.0,0.0,0.0,0.0
theil_sen,-1.1104855508294766,0.06830069735492886,0.012558646627098958,0.03841970713931453,-1.3205214184765723,0.0,0.0,0.0,0.0,0.0
