,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.8973319527660948,0.007871575069909573,0.0002003491775731929,0.004802748395677875,0.8869301926127354,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9805918317965989,0.004827387564757202,4.028818622205608e-05,0.003786167080481545,0.9779914539889463,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9810664810796303,0.00295453832245594,3.757964405329105e-05,0.0007331974051590584,0.979662010346817,0.0,0.0,0.0,0.0,0.0
elastic_net,0.7439400024065848,0.018598388529988272,0.0005860691019929318,0.015281660207859888,0.7331663052445334,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9474327615714412,0.004457536805554602,0.000124782036140449,0.0008841854883104461,0.9463175590280587,0.0,0.0,0.0,0.0,0.0
huber,-8.58961981564985,0.12023619406888371,0.026633805308233605,0.10140680052617312,-11.072168871266971,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-3.945861214496527,0.09446620276287568,0.01219662169955548,0.09209861428767671,-4.9700591540946775,0.0,0.0,0.0,0.0,0.0
lasso,0.7304960358844905,0.01789576419281281,0.0006321805895407677,0.013209436882497993,0.7159588257420041,0.0,0.0,0.0,0.0,0.0
lasso_lars,-4.4408920985006264e-17,0.043032609386349986,0.002358487979518179,0.04306060623959946,-0.11269125159865505,0.0,0.0,0.0,0.0,0.0
linear,0.9820339032015595,0.004694983185487892,3.83651383313288e-05,0.003852996609073034,0.9798801991183472,0.0,0.0,0.0,0.0,0.0
linear_svr,-18.657288703116542,0.14546317487896937,0.05373708076217384,0.08572782570482437,-25.3685610470177,0.0,0.0,0.0,0.0,0.0
mlp,-10821563.904312067,167.02899267004076,54321.5654008382,126.79084852913684,-27195079.861756273,0.0,0.0,0.0,0.0,0.0
nu_svr,0.979369503460855,0.0035227649041718523,4.181073726269227e-05,0.0016010470513919627,0.9777497881749527,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.7412777776086502,0.014254928931927969,0.0006357910277249232,0.006245131852194358,0.7105868065603811,0.0,0.0,0.0,0.0,0.0
ransac,0.9820339032015595,0.004694983185487892,3.83651383313288e-05,0.003852996609073034,0.9798801991183472,0.0,0.0,0.0,0.0,0.0
ridge,0.9737068813213863,0.006093694929595762,5.639843245022093e-05,0.005377374103935489,0.9694177722332068,0.0,0.0,0.0,0.0,0.0
svr,-5.551115123125783e-17,0.05012481576751254,0.0037099332082573093,0.06033148688616737,-0.8259442988359359,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.3207083295710417,0.03547735446315782,0.002841619342349118,0.023229694853025534,-0.6556594047996928,0.0,0.0,0.0,0.0,0.0
