,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.9026148489302658,0.026070249424084944,0.0012909383134628266,0.017943361093225606,0.8917007756653748,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.9912189077493434,0.007920235139909079,0.00012157748911805863,0.005097209109096579,0.9908337473398625,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9992310939327457,0.0015562376098342688,2.208237452636887e-05,0.0003071374462217336,0.9991787904065733,0.0,0.0,0.0,0.0,0.0
elastic_net,0.03251169323202835,0.0970329411141718,0.014333901256680614,0.07906216942164879,-0.05506040870285743,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9942727044151866,0.003191853107275778,0.00013250035829509986,0.00034347800165612785,0.9935582422010549,0.0,0.0,0.0,0.0,0.0
huber,-1.8568313340474432,0.13630292818377368,0.04398168633160264,0.08991370647799864,-2.2745874477226753,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.5246576558425088,0.12498468159242326,0.023489141584253304,0.12226197819560111,-0.8446708616292048,0.0,0.0,0.0,0.0,0.0
lasso,-0.11402496698932915,0.10051579234952648,0.016101892468737302,0.07524760231191684,-0.1760506303320722,0.0,0.0,0.0,0.0,0.0
lasso_lars,-8.881784197001253e-17,0.11681329766446436,0.02936511999248247,0.09596077781235382,-0.2807693273682939,0.0,0.0,0.0,0.0,0.0
linear,0.9915985231155521,0.007856883412331869,0.00012027307172857114,0.004887113146767918,0.9912396752390092,0.0,0.0,0.0,0.0,0.0
linear_svr,-7.305883598759922,0.251429278294264,0.13529695821733195,0.1833398015500332,-14.421488401398687,0.0,0.0,0.0,0.0,0.0
mlp,-1581818.225871652,112.9111906734317,31160.697120416437,89.31953122562462,-5606697.982797837,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9991575881453132,0.0021780531051864664,2.2254850939458376e-05,0.0009148618793699715,0.9990933563703459,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.6737804788204642,0.05415614071044413,0.004280530453408833,0.048416344005141,0.6064905393436841,0.0,0.0,0.0,0.0,0.0
ransac,-0.004763725422281928,0.016264287782905257,0.003345951401004725,0.005613960958088771,-0.102879389108543,0.0,0.0,0.0,0.0,0.0
ridge,0.9542719928319514,0.015593384119735303,0.00043608595116223443,0.010930070809147133,0.9513764890391958,0.0,0.0,0.0,0.0,0.0
svr,0.8242862453997548,0.09206303309866709,0.008579607889564746,0.09551900815131092,0.24469999958201977,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.41555080163694724,0.08930971961536714,0.02045198877795962,0.05248605272244773,-0.6342347386470633,0.0,0.0,0.0,0.0,0.0
