,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.37052724179408764,0.11336339716457822,0.019630123108792988,0.09550239573881424,0.36411759414977074,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5372527308389483,0.09440057437065968,0.014710003986339024,0.07634510750156916,0.5298401423196312,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9509970294884873,0.009879081428941507,0.0017531199196462934,0.0015157772526853408,0.948617836751259,0.0,0.0,0.0,0.0,0.0
elastic_net,0.30280862154076166,0.12119818166575716,0.022010640252521797,0.10771204303787181,0.2881821957137779,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9797190290153663,0.008250585893789675,0.0006542248578950217,0.0014565074002206775,0.9790739958333056,0.0,0.0,0.0,0.0,0.0
huber,-0.1422351482294475,0.1468713311809962,0.037153127718722624,0.11947003602519783,-0.22134189542906038,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.055803174755655126,0.14725867199780523,0.03319966911903755,0.12655955120311074,-0.09068695332994454,0.0,0.0,0.0,0.0,0.0
lasso,0.2585947328001987,0.12443370962534642,0.0233599185825191,0.1043760806925712,0.24441614507972878,0.0,0.0,0.0,0.0,0.0
lasso_lars,-3.3306690738754695e-17,0.14896220257259646,0.03118795666980746,0.13693324799940337,-0.01179164869319036,0.0,0.0,0.0,0.0,0.0
linear,0.5377565621136047,0.09420635395557934,0.014689411574966343,0.07474123024613391,0.5304994227342777,0.0,0.0,0.0,0.0,0.0
linear_svr,-721.7236646316522,2.7040342999632108,40.10616993724634,1.270368848053261,-1533.1377620380904,0.0,0.0,0.0,0.0,0.0
mlp,-1009087.1583622678,103.31086897813486,44915.53861891995,59.038329337662084,-1499203.230911704,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9752302708639004,0.007144351346945808,0.0008295258720661776,0.001893788275112035,0.9745264164245725,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.25655640190900886,0.12135972556122902,0.023141203694249,0.11286716752024425,0.25061360454557147,0.0,0.0,0.0,0.0,0.0
ransac,-8.188067580698174,0.1583804957185891,0.27119932945219205,0.030449520526073658,-8.61828641953839,0.0,0.0,0.0,0.0,0.0
ridge,0.5371953344175017,0.09445889921929697,0.01471339016669113,0.07623555688910937,0.5297452183940173,0.0,0.0,0.0,0.0,0.0
svr,0.7820697193451764,0.07718387963332693,0.007264287694216831,0.09058534724893251,0.7603808927733489,0.0,0.0,0.0,0.0,0.0
theil_sen,-1.7926092954148873,0.17163126862436534,0.08175854296013038,0.11703107073054557,-1.8463579736171312,0.0,0.0,0.0,0.0,0.0
