,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.29457344508848193,0.2678991278225797,0.09026284022343753,0.27423437251107063,0.2644107173704361,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5027389483319391,0.2145160163613294,0.06296824212785265,0.20762798192257614,0.48829568529740836,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9975633572396511,0.009454707143201785,0.00030084340824973384,0.004379051250296359,0.9975198774240299,0.0,0.0,0.0,0.0,0.0
elastic_net,0.25868441551697546,0.2779942118149624,0.09472642892242863,0.2865603228414066,0.23120851977303386,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9298138752569619,0.025865981645642317,0.008997818240392544,0.007056812008619231,0.9282091343630615,0.0,0.0,0.0,0.0,0.0
huber,0.07340567242065074,0.23632368036315957,0.11783645687440714,0.19331063518457506,0.04879657335117482,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5055752227223682,0.21376176628052437,0.0626080829444277,0.20636620111253107,0.4910301509750982,0.0,0.0,0.0,0.0,0.0
lasso,0.24455271380115323,0.2839152136607758,0.09638076828992032,0.2931772947054302,0.21793536456173976,0.0,0.0,0.0,0.0,0.0
lasso_lars,-2.2204460492503132e-17,0.33083535566898525,0.12723309261933663,0.3752089204842584,-0.030295690014799613,0.0,0.0,0.0,0.0,0.0
linear,0.5024890702615216,0.21364751673287388,0.06294447969049362,0.20211018812801,0.48857187766654453,0.0,0.0,0.0,0.0,0.0
linear_svr,-23.019436132319672,1.1971440082265628,5.111801689206473,0.4681428067192071,-40.74614667730339,0.0,0.0,0.0,0.0,0.0
mlp,-56111.366145079024,43.682751829191076,11300.106176052223,18.647500609548572,-93635.14316044426,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9981652508867217,0.008807551937910591,0.00023066600876906875,0.005042519060524902,0.9980997829020163,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2991340471095455,0.26933485708400545,0.08971282883936905,0.27701881583200827,0.2688070137188884,0.0,0.0,0.0,0.0,0.0
ransac,-4.343803468453447,0.2460664996109485,0.6994708980038765,0.07767902137204752,-4.525295357069548,0.0,0.0,0.0,0.0,0.0
ridge,0.5029186374819232,0.21452667918179072,0.06294792450136502,0.2077044452890716,0.4884462796678313,0.0,0.0,0.0,0.0,0.0
svr,0.9399648046438109,0.08392301801852213,0.007641661228908063,0.0921307294891505,0.9379236284353197,0.0,0.0,0.0,0.0,0.0
theil_sen,-2.509505407747053,0.26656536319593777,0.44346870143463246,0.12069799605848983,-2.6277629996960377,0.0,0.0,0.0,0.0,0.0
