,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.31573787889859833,0.182416199595887,0.043000822866451224,0.18526491453404914,0.28979310616786996,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5757462591889083,0.1359812136516703,0.02653330736873095,0.1247354390738555,0.5647747179460232,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9960451720417154,0.006125292246088996,0.0002450423419997045,0.003049249293816081,0.9959559296470945,0.0,0.0,0.0,0.0,0.0
elastic_net,0.3311650974684294,0.18286030747992907,0.04207314601988536,0.17623995535302514,0.3094871723165069,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9625672009851296,0.012624283460802372,0.0022594763532067575,0.0036177254889547318,0.9615395313674171,0.0,0.0,0.0,0.0,0.0
huber,0.24050987794577788,0.14781672894915804,0.04792089139407141,0.09945085685174576,0.2143775305291123,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.516933021688129,0.13246317720640266,0.03004031100579279,0.11030340864118207,0.5068916147343856,0.0,0.0,0.0,0.0,0.0
lasso,0.29981245446946847,0.1883889394749961,0.043975578757629634,0.17947382536219075,0.27887662431768295,0.0,0.0,0.0,0.0,0.0
lasso_lars,-3.3306690738754695e-17,0.23177237473943854,0.0624704649141294,0.24175196148923486,-0.028825639179003538,0.0,0.0,0.0,0.0,0.0
linear,0.5755644958575911,0.13567658760300477,0.026528382059306875,0.12426480771266915,0.5649111833409093,0.0,0.0,0.0,0.0,0.0
linear_svr,-51.79329181235198,1.012385787729913,4.612328381133433,0.35435902038489964,-75.77567390196171,0.0,0.0,0.0,0.0,0.0
mlp,-327067.5338249327,79.16869890333493,28391.521537959263,36.036870591872514,-467764.4810803297,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9965376173135759,0.005783486472282055,0.0002129023430445787,0.002811121893327265,0.996372506034434,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.31798893217311014,0.18222179603713723,0.04288814562080105,0.18544654795590435,0.2915343231552974,0.0,0.0,0.0,0.0,0.0
ransac,-6.486479912567029,0.19370704562717797,0.46260822493692383,0.052290872910879395,-6.673549890838485,0.0,0.0,0.0,0.0,0.0
ridge,0.5757607788228064,0.13600212593641986,0.026533705484284558,0.12486550111733222,0.5647641498253122,0.0,0.0,0.0,0.0,0.0
svr,0.8695457835153106,0.08764374653641122,0.008066747629152318,0.09360874106122322,0.8659396724067527,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.8776819819443809,0.17153738593725593,0.11603705526696777,0.09662274351714799,-0.9397238763428858,0.0,0.0,0.0,0.0,0.0
