,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.3333689858673431,0.18673518234831588,0.0450170895501268,0.18882528697481904,0.3092695923824517,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5947755341994545,0.13574357688536173,0.02712737313972389,0.11871112486119936,0.5857915269163305,0.0,0.0,0.0,0.0,0.0
decision_tree,0.994459036471438,0.007846573219815856,0.00037817549787209687,0.003419041068969143,0.9942622727175691,0.0,0.0,0.0,0.0,0.0
elastic_net,0.33510285628178593,0.18750309683898375,0.044918251869784924,0.1824448224825043,0.3149763883853594,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9467836682193482,0.012991624044116195,0.0034220557324397332,0.0036550013788728074,0.9450996997679313,0.0,0.0,0.0,0.0,0.0
huber,0.31299636550182053,0.14727296250155733,0.046745829310282996,0.10442482988301423,0.28882068304121084,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5337885488482619,0.1344441318504245,0.031072189104894482,0.1109727462567351,0.5254659335222939,0.0,0.0,0.0,0.0,0.0
lasso,0.30727045781778795,0.1937437592319009,0.0467823036539326,0.18660607094833087,0.2872913436326874,0.0,0.0,0.0,0.0,0.0
lasso_lars,0.0,0.24113769291123743,0.06733752731531706,0.2504746976415642,-0.029988517784956037,0.0,0.0,0.0,0.0,0.0
linear,0.5946055787691648,0.13564908404257553,0.02712380645652932,0.11982518357737164,0.5858847351503984,0.0,0.0,0.0,0.0,0.0
linear_svr,-40.96100309907667,1.1166057958982267,4.039154432328034,0.6187414495664477,-63.592098821911165,0.0,0.0,0.0,0.0,0.0
mlp,-194929.06820557144,47.26921589721029,18706.29223302131,22.39010977119839,-254981.89467142074,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9938636551448639,0.007560774409915054,0.00042551387931532273,0.0033102321698157107,0.9934182848702748,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.33745173771434644,0.18605544952190683,0.04479295063689714,0.18733497203127664,0.31270528367101375,0.0,0.0,0.0,0.0,0.0
ransac,-4.582015297655403,0.20073390736780228,0.3662085049798577,0.07514238303438617,-4.728770950867723,0.0,0.0,0.0,0.0,0.0
ridge,0.5947665418765886,0.13576913998007012,0.02713038140036686,0.11862377419101552,0.5857400792529969,0.0,0.0,0.0,0.0,0.0
svr,0.8820439100227759,0.08558522768229851,0.007856044463252722,0.09023384081274885,0.8789437842594323,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.5783366694846259,0.1673415978556471,0.10664092985986717,0.08583664248660364,-0.6354184247734569,0.0,0.0,0.0,0.0,0.0
