,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.5357688573623662,0.13137901585491768,0.03618590177109086,0.06578181451065539,0.5289620418959544,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.588638000931849,0.12587274145336694,0.03277580891493482,0.07632568254222355,0.577028852609673,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9869772164861523,0.010011542196628514,0.0010320306243341252,0.002952933541894873,0.986796219438234,0.0,0.0,0.0,0.0,0.0
elastic_net,0.32863448078992397,0.16998231942604505,0.05401433073988715,0.15008490021993331,0.30582922009088387,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9265595140676233,0.01757482263765911,0.004941878289890804,0.0037234526102352164,0.9262031399453109,0.0,0.0,0.0,0.0,0.0
huber,0.200138002957401,0.19364408829495586,0.06540475562840853,0.15010661416881557,0.15474732067720467,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.31129995906445784,0.18406798417483963,0.054910931304222754,0.14873261888454786,0.2842388787286198,0.0,0.0,0.0,0.0,0.0
lasso,0.29922332227523213,0.17442344419179898,0.0562201911216183,0.15172374541601638,0.277312807664459,0.0,0.0,0.0,0.0,0.0
lasso_lars,2.2204460492503132e-17,0.22971012522671264,0.0779646225112931,0.21888289136509237,-0.021087114580731935,0.0,0.0,0.0,0.0,0.0
linear,0.5884305789419152,0.12534703381341802,0.03276161546480667,0.0746105277535663,0.5770359522689535,0.0,0.0,0.0,0.0,0.0
linear_svr,-27.377574033236932,0.9953031194495574,3.361974241062442,0.45544192953591667,-44.94035005159349,0.0,0.0,0.0,0.0,0.0
mlp,-312183.50862117956,116.99824646575723,39443.014350276484,75.49727429736294,-526094.7661652562,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9900986121121294,0.0087231457533531,0.0008045923765173313,0.0032679993937790434,0.9899491706081399,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.23742571157212647,0.19294190296583286,0.05905443044742091,0.17159666223009734,0.22534397438071135,0.0,0.0,0.0,0.0,0.0
ransac,0.1820362979654911,0.13790294579039591,0.06466404295062586,0.051162763571308764,0.16664380880207258,0.0,0.0,0.0,0.0,0.0
ridge,0.588546823196225,0.12633597184373674,0.03281033101034416,0.07724631750746447,0.5767294721964846,0.0,0.0,0.0,0.0,0.0
svr,0.9112518005196435,0.07733614589409923,0.0070294592179868,0.09247128020985132,0.9075471540454298,0.0,0.0,0.0,0.0,0.0
theil_sen,0.16375225042975855,0.17168070857245823,0.06404114484273696,0.10953484141221428,0.15272388231184897,0.0,0.0,0.0,0.0,0.0
