,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.3771382188764134,0.11852243927968238,0.02639257145867025,0.08353797409381516,0.35479416514495765,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5105234564730734,0.1051382537489565,0.02063721098495245,0.07519432859264123,0.4917359953778204,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9826825951331019,0.008455295989050645,0.0006662624605366719,0.0023289218298886026,0.9823400424175219,0.0,0.0,0.0,0.0,0.0
elastic_net,0.12714794821342326,0.1455873630683488,0.03782973263020746,0.11830019300126637,0.0904456504845165,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9736621617413096,0.009105363961849309,0.0008403088549290815,0.0020243488968670702,0.9729050001615412,0.0,0.0,0.0,0.0,0.0
huber,-0.33082683452019734,0.16615310961404123,0.05660745042119408,0.11779346764107934,-0.41348837829192187,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.12415776699233887,0.16855764670873102,0.047844149492351065,0.14587096345186762,-0.1871137561280492,0.0,0.0,0.0,0.0,0.0
lasso,0.10561940519033812,0.14675346960841257,0.03868705327059472,0.11876250044029187,0.06976515848098631,0.0,0.0,0.0,0.0,0.0
lasso_lars,-1.1102230246251566e-17,0.16108568338552626,0.042235602415656034,0.13878619180611676,-0.03580327437343935,0.0,0.0,0.0,0.0,0.0
linear,0.509647715412433,0.10539992864020904,0.020620144013102824,0.07559665861275681,0.4910388594044751,0.0,0.0,0.0,0.0,0.0
linear_svr,-74.87159930393486,0.8873593598901837,3.203965071695746,0.26479325056625375,-85.27317960257089,0.0,0.0,0.0,0.0,0.0
mlp,-1149401.6425000126,120.55305956055722,52081.98947597139,63.68476895835106,-1621549.8621730611,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9852529935198646,0.006970930509939843,0.0005759263759458094,0.0025570656442016892,0.9845623609512696,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2250522214196188,0.1316515331844992,0.03293930733202371,0.097031400777518,0.19689395997399406,0.0,0.0,0.0,0.0,0.0
ransac,-4.400404319202245,0.15804188939892047,0.23395348361967128,0.03577405639256628,-4.507794323720379,0.0,0.0,0.0,0.0,0.0
ridge,0.51106869983574,0.10503080295812968,0.020686300181021234,0.07488990106396085,0.4920032634525818,0.0,0.0,0.0,0.0,0.0
svr,0.8361154598148692,0.07617628787273734,0.006844393484080615,0.08881446172833854,0.8206983921938743,0.0,0.0,0.0,0.0,0.0
theil_sen,-1.0977837164094493,0.16397111046034163,0.08448213825454436,0.0991292393234094,-1.141635752155776,0.0,0.0,0.0,0.0,0.0
