,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.28037084616079466,0.264670524311781,0.09145476876152875,0.28337312175127877,0.26991349193446157,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5507218785144582,0.1983746074977979,0.057456003261086616,0.19681212737477632,0.5426251445739758,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9958684691392501,0.011495686308090215,0.0005034810534227477,0.004342715282317053,0.9957966287371247,0.0,0.0,0.0,0.0,0.0
elastic_net,0.32643896161908986,0.25981001796016867,0.08620625378250932,0.2626178159850374,0.314634806970049,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.8630256675602993,0.031644961146315695,0.018371207820935032,0.005753726453064978,0.8592322064030713,0.0,0.0,0.0,0.0,0.0
huber,0.1591505785414052,0.22049678243333162,0.10840489437754827,0.16169059147243486,0.13661168090073844,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.5481148696570924,0.1947905339452529,0.058045751160154826,0.18151982880991968,0.5389185322614911,0.0,0.0,0.0,0.0,0.0
lasso,0.3112400678198263,0.26428782014113195,0.08810367891430904,0.2691003907671615,0.29967908579759533,0.0,0.0,0.0,0.0,0.0
lasso_lars,-2.2204460492503132e-17,0.3335574586012093,0.12777741109482094,0.36882937018241846,-0.018300360497010025,0.0,0.0,0.0,0.0,0.0
linear,0.5509375877592863,0.19798330016163115,0.05743137363009274,0.19309945395543304,0.5428542367258123,0.0,0.0,0.0,0.0,0.0
linear_svr,-17.713966143818396,0.8921604076750459,2.7724136617063655,0.3230383122875574,-21.01051819902054,0.0,0.0,0.0,0.0,0.0
mlp,-9387.260071705454,16.881090539137077,1348.023905564812,7.650012296569128,-10373.617501850906,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9958030784052745,0.012099097120989943,0.0005137239654742208,0.0057061194965123295,0.9957249619470622,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2889411332239993,0.26089908283376817,0.09041190196558166,0.2770631476651412,0.2782896153461304,0.0,0.0,0.0,0.0,0.0
ransac,-6.564033741518168,0.2546802987470206,1.00118767821447,0.05538931008851028,-6.864457357675333,0.0,0.0,0.0,0.0,0.0
ridge,0.5510357654716247,0.19826849159477122,0.0574140162845342,0.19659288045714177,0.5429471414999623,0.0,0.0,0.0,0.0,0.0
svr,0.9427730171731872,0.08275809722889085,0.0073972435944696475,0.0895464373826304,0.9408921876784812,0.0,0.0,0.0,0.0,0.0
theil_sen,-2.6079321907929502,0.2578195990262135,0.4765001325124908,0.10371707087148337,-2.7396869384193385,0.0,0.0,0.0,0.0,0.0
