,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.45332535484777586,0.11412648067422464,0.022585895634968444,0.07951998608894126,0.43328340283233474,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5801678575565613,0.09795172405567418,0.017449119684366847,0.06878962885341089,0.5650053205241512,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9600235196869834,0.011802077051490563,0.0017554863517840775,0.002441895637212982,0.9590480546748437,0.0,0.0,0.0,0.0,0.0
elastic_net,0.15015635687153311,0.15236848779559112,0.03603115224925192,0.12522287721464348,0.11439642884741974,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.8885761191474039,0.016926076069559502,0.003922902326966398,0.0037031617853611975,0.8856008355480665,0.0,0.0,0.0,0.0,0.0
huber,-0.15616886356456366,0.15810314072347892,0.04714525698591916,0.11585093880792448,-0.1731464300624483,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.06841098539336861,0.1688978603689893,0.04483089755365052,0.14675122073011876,-0.12170058454209287,0.0,0.0,0.0,0.0,0.0
lasso,0.13627837125203576,0.15290669855744377,0.03659405989180327,0.12390058041734023,0.1010492229570635,0.0,0.0,0.0,0.0,0.0
lasso_lars,-6.661338147750939e-17,0.17074509645025795,0.041706364905068426,0.1530129269141177,-0.03799529690742269,0.0,0.0,0.0,0.0,0.0
linear,0.5799979561458775,0.09790680986161869,0.017435203407379175,0.0696441071763474,0.5649829973155083,0.0,0.0,0.0,0.0,0.0
linear_svr,-46.7302884941571,0.9231743434513067,2.9406338890485686,0.4242553499892736,-65.24374455104852,0.0,0.0,0.0,0.0,0.0
mlp,-285291.49933714996,65.15776259202369,19661.749637426798,32.73616259225936,-428817.7260065536,0.0,0.0,0.0,0.0,0.0
nu_svr,0.968013857416653,0.011195236211775157,0.0015343803940932842,0.0032100639388107977,0.9657438707696677,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2579091089279367,0.13671432874700448,0.031029237604698827,0.12286965676512765,0.23021689670557044,0.0,0.0,0.0,0.0,0.0
ransac,-3.955986589410108,0.15629844401821763,0.20340629124762719,0.041817743584594044,-4.111821061733943,0.0,0.0,0.0,0.0,0.0
ridge,0.5796015737142538,0.09821458297167782,0.01751643794761874,0.06819246064973133,0.5640844627867698,0.0,0.0,0.0,0.0,0.0
svr,0.8196829584650075,0.078449264305297,0.0077568553912530595,0.08868219546754352,0.8061160784189262,0.0,0.0,0.0,0.0,0.0
theil_sen,-1.375053688963959,0.17044465559645494,0.09484243812572449,0.1105714773421311,-1.427548598549473,0.0,0.0,0.0,0.0,0.0
