,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.3049823157179793,0.20931990176717571,0.06597843544570589,0.16799736604506812,0.29550454918835906,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.4560675990707631,0.17237023205601215,0.05234259882093645,0.12782019674720216,0.44309489556384507,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9975949868990828,0.007049860118212362,0.0002280213008773586,0.0027137786917712766,0.997550441425946,0.0,0.0,0.0,0.0,0.0
elastic_net,0.34756440282265527,0.20207905415900457,0.06342176684861275,0.2082669260365999,0.32637638950860925,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9835975834671128,0.013022154494175603,0.0014483569381259893,0.003362203432618631,0.9834122184039907,0.0,0.0,0.0,0.0,0.0
huber,0.1994232596581357,0.23033124315588824,0.07968117856221599,0.19869448826696715,0.15133988341500598,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.2403576234187767,0.21770505197049544,0.07389352282110716,0.18640661192623179,0.21185407115633526,0.0,0.0,0.0,0.0,0.0
lasso,0.3202365421982408,0.20755441038613331,0.06592699013505961,0.20816464824262604,0.29984436966082256,0.0,0.0,0.0,0.0,0.0
lasso_lars,-2.2204460492503132e-17,0.2672437302324718,0.0958115849354372,0.27289371135421725,-0.02216501105986555,0.0,0.0,0.0,0.0,0.0
linear,0.4558247491221502,0.16912454698838386,0.05229584823733265,0.12613852573335355,0.44360778434227777,0.0,0.0,0.0,0.0,0.0
linear_svr,-17.60397561903747,0.9447828358142356,2.622073455257411,0.5048518835281616,-29.29860832417886,0.0,0.0,0.0,0.0,0.0
mlp,-221329.84035608568,89.12960116650527,30463.87937820729,37.88636876853108,-334218.7072185792,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9980197301906262,0.006439341025676555,0.0001862822896497327,0.0030159201944304687,0.9979781915238254,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2734903361752924,0.21987406456515166,0.06901091001484533,0.19593809967058284,0.26216065942508726,0.0,0.0,0.0,0.0,0.0
ransac,-0.3670148102024826,0.20081169986306763,0.13411214866160245,0.07652422296478194,-0.43497381375898564,0.0,0.0,0.0,0.0,0.0
ridge,0.45680856426814087,0.17092053706064692,0.05224219851793773,0.12663449160299384,0.4441674853680634,0.0,0.0,0.0,0.0,0.0
svr,0.9252062545661266,0.08178083828420497,0.007367990039513472,0.09274117603951962,0.9207058556885162,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.3875112639432986,0.2295373784656726,0.13236686361589012,0.10933927643678135,-0.41686516897569187,0.0,0.0,0.0,0.0,0.0
